TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
SKYFALL,2015-11-08,France 2,Royaume-Uni,6.815133,26.7,Sunday,non
QUANTUM OF SOLACE,2015-11-22,France 2,Royaume-Uni,5.533655,20.2,Sunday,non
JACK REACHER,2015-09-13,France 2,Etats-Unis,5.24241,20.9,Sunday,non
ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTÉ,2015-10-18,France 2,France / Hongrie / Espagne / Italie,4.892916,17.8,Sunday,oui
CASINO ROYALE,2015-11-15,France 2,Royaume-Uni,4.776418,21.1,Sunday,non
DE L'AUTRE CÔTÉ DU LIT,2015-03-29,France 2,France,4.65992,17.4,Sunday,non
PAULETTE,2015-09-27,France 2,France,4.65992,18.1,Sunday,non
LA FAILLE,2015-02-22,France 2,Etats-Unis,4.485173,17.0,Sunday,oui
LE PÈRE NOËL EST UNE ORDURE,2015-01-04,France 2,France,4.135679,15.3,Sunday,oui
NIGHT AND DAY,2015-01-18,France 2,Etats-Unis,4.019181,15.2,Sunday,non
L'AILE OU LA CUISSE,2015-04-30,France 3,France,3.145446,13.1,Thursday,non
LA SOUPE AUX CHOUX,2015-10-22,France 3,France,2.91245,10.6,Thursday,oui
INDEPENDENCE DAY,2015-11-26,France 3,Etats-Unis,2.795952,11.7,Thursday,non
OCEAN'S 13,2015-12-10,France 3,Etats-Unis,2.795952,11.5,Thursday,non
LES TROIS FRÈRES,2015-04-16,France 3,France,2.737703,11.0,Thursday,oui
UN BALCON SUR LA MER,2015-09-24,France 3,France,2.679454,11.4,Thursday,non
PAULINE DÉTECTIVE,2015-08-25,France 3,France,2.679454,11.4,Tuesday,oui
LA GUERRE DES MONDES,2015-02-26,France 3,Etats-Unis,2.562956,10.1,Thursday,oui
LE GRAND PARDON,2015-02-12,France 3,France,2.562956,10.6,Thursday,non
FANNY,2015-12-29,France 3,France,2.504707,9.8,Tuesday,oui
LE JOUR D'APRÉS,2015-12-06,France 4,Etats-Unis,1.689221,6.6,Sunday,non
LE CINQUIÉME ÉLÉMENT,2015-04-29,France 4,France,1.514474,5.9,Wednesday,non
LE SEIGNEUR DES ANNEAUX - LE RETOUR DU ROI,2015-03-08,France 4,NZ,1.281478,6.3,Sunday,non
LE CINQUIÉME ÉLÉMENT,2015-12-02,France 4,France,1.223229,4.7,Wednesday,non
MATRIX,2015-06-09,France 4,Etats-Unis,1.16498,4.7,Tuesday,non
USUAL SUSPECTS,2015-02-15,France 4,Etats-Unis,1.106731,4.2,Sunday,oui
JUMPER,2015-12-13,France 4,Etats-Unis,1.048482,3.7,Sunday,non
LE SEIGNEUR DES ANNEAUX - LA COMMUNAUTE DE L'ANNEAU,2015-02-22,France 4,NZ,0.990233,4.5,Sunday,oui
LA GUERRE DES MONDES,2015-10-20,France 4,Etats-Unis,0.990233,3.7,Tuesday,oui
LES GRANDES VACANCES,2015-07-08,France 4,France / Italie,0.990233,4.4,Wednesday,oui
JACKIE BROWN,2015-04-27,France Ô,Etats-Unis,0.524241,2.2,Monday,non
RIEN QUE POUR VOS YEUX,2015-04-06,France Ô,Royaume-Uni,0.524241,1.9,Monday,oui
L'HOMME DE CHEVET,2015-04-13,France Ô,France,0.465992,1.8,Monday,oui
PAPILLON,2015-12-07,France Ô,BS,0.465992,1.8,Monday,non
POINT BREAK - EXTRÊME LIMITE,2015-08-31,France Ô,Etats-Unis,0.465992,1.8,Monday,oui
SHAFT,2015-10-12,France Ô,Etats-Unis,0.465992,1.7,Monday,non
LES DIAMANTS SONT ÉTERNELS,2015-09-28,France Ô,Royaume-Uni,0.465992,1.8,Monday,non
ON NE VIT QUE DEUX FOIS,2015-10-05,France Ô,Royaume-Uni,0.407743,1.6,Monday,non
DANGEREUSEMENT VÔTRE,2015-09-21,France Ô,Royaume-Uni,0.407743,1.7,Monday,non
OCTOPUSSY,2015-03-30,France Ô,Royaume-Uni,0.349494,1.4,Monday,non
LE VIEIL HOMME ET L'ENFANT,2015-09-21,Arte,France,1.74747,6.6,Monday,non
LA NUIT NOUS APPARTIENT,2015-02-02,Arte,Etats-Unis,1.514474,5.6,Monday,non
TAXI DRIVER,2015-10-26,Arte,Etats-Unis,1.514474,5.9,Monday,oui
"LE TEMPS D'AIMER, LE TEMPS DE MOURIR",2015-02-09,Arte,Etats-Unis,1.397976,5.5,Monday,non
UNE FEMME DE MÉNAGE,2015-09-09,Arte,France,1.456225,5.9,Wednesday,non
QUAI DES ORFÈVRES,2015-03-16,Arte,France,1.397976,5.1,Monday,non
JEREMIAH JOHNSON,2015-04-26,Arte,Etats-Unis,1.397976,5.3,Sunday,non
CLASSE TOUS RISQUES,2015-03-22,Arte,France / Italie,1.339727,5.2,Sunday,non
LES VACANCES DE MONSIEUR HULOT,2015-12-21,Arte,France,1.339727,4.7,Monday,oui
CARTOUCHE,2015-12-30,Arte,France / Italie,1.339727,5.5,Wednesday,oui
IRON MAN,2015-05-17,6ter,Etats-Unis,0.873735,3.6,Sunday,non
"HELLBOY 2, LES LÉGIONS D'OR MAUDITES",2015-03-29,6ter,Etats-Unis,0.640739,2.6,Sunday,non
CARS 2,2015-12-27,6ter,Etats-Unis,0.640739,2.6,Sunday,oui
"X-MEN, L'AFFRONTEMENT FINAL",2015-04-28,6ter,Etats-Unis,0.640739,2.4,Tuesday,non
L'INCROYABLE HULK,2015-04-30,6ter,Etats-Unis,0.640739,2.6,Thursday,non
X-MEN 2,2015-04-12,6ter,Etats-Unis,0.58249,2.4,Sunday,oui
"MAMAN, J'AI ENCORE RATÉ L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,4.7,Thursday,oui
"MAMAN, J'AI RATÉ L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,2.3,Thursday,oui
"PERCY JACKSON, LE VOLEUR DE FOUDRE",2015-10-04,6ter,Etats-Unis,0.58249,2.3,Sunday,non
LE VOYAGE EXTRAORDINAIRE DE SAMY,2015-12-29,6ter,Belgique,0.58249,2.2,Tuesday,oui
HUNGER GAMES,2015-10-11,C8,Etats-Unis,3.028948,12.9,Sunday,non
LE TERRITOIRE DES LOUPS,2015-03-09,C8,Etats-Unis,1.514474,6.1,Monday,non
SAFE,2015-03-30,C8,Etats-Unis,1.397976,5.1,Monday,non
LE JOUR OÙ LA TERRE S'ARRÊTA,2015-03-02,C8,Etats-Unis,1.281478,4.9,Monday,oui
LE DERNIER REMPART,2015-09-14,C8,Etats-Unis,1.281478,5.4,Monday,non
TANGO ET CASH,2015-04-20,C8,Etats-Unis,1.281478,5.1,Monday,oui
JUMPER,2015-04-06,C8,Etats-Unis,1.281478,4.5,Monday,oui
IDENTITÉ SECRÈTE,2015-02-09,C8,Etats-Unis,1.16498,4.4,Monday,non
L'HOMME DES HAUTES PLAINES,2015-08-24,C8,Etats-Unis,1.106731,4.8,Monday,oui
SAFE,2015-09-28,C8,Etats-Unis,1.106731,4.6,Monday,non
LA BATAILLE DES ARDENNES,2015-10-22,CStar,Etats-Unis,0.931984,3.9,Thursday,oui
3H10 POUR YUMA,2015-11-19,CStar,Etats-Unis,0.698988,2.8,Thursday,non
POUR 100 BRIQUES T'AS PLUS RIEN,2015-02-26,CStar,France,0.698988,2.6,Thursday,oui
WILD WILD WEST,2015-11-26,CStar,Etats-Unis,0.640739,2.6,Thursday,non
LE DERNIER DES TEMPLIERS,2015-11-05,CStar,Etats-Unis,0.640739,2.4,Thursday,non
A L'AUBE DU SIXIÈME JOUR,2015-06-25,CStar,Etats-Unis,0.640739,2.9,Thursday,non
HITMAN,2015-09-03,CStar,Etats-Unis,0.58249,2.5,Thursday,non
UNE PETITE ZONE DE TURBULENCES,2015-05-07,CStar,France,0.524241,2.4,Thursday,non
PINOT SIMPLE FLIC,2015-09-24,CStar,France,0.524241,2.2,Thursday,non
LES IMMORTELS,2015-05-14,CStar,Etats-Unis,0.524241,2.1,Thursday,non
LES ROIS DE LA GLISSE,2015-10-22,Gulli,Etats-Unis,0.640739,2.3,Thursday,oui
KIRIKOU ET LES BÊTES SAUVAGES,2015-07-30,Gulli,France,0.58249,2.6,Thursday,oui
FOURMIZ,2015-11-13,Gulli,Etats-Unis,0.524241,3.1,Friday,non
LES VALEURS DE LA FAMILLE ADDAMS,2015-10-26,Gulli,Etats-Unis,0.524241,2.1,Monday,oui
LE GRINCH,2015-11-27,Gulli,Etats-Unis,0.524241,2.5,Friday,non
LE VILAIN PETIT CANARD ET MOI,2015-07-09,Gulli,France / DK,0.524241,2.4,Thursday,oui
LA FLÛTE À SIX SCHTROUMPFS,2015-08-06,Gulli,France,0.465992,2.7,Thursday,oui
LA FAMILLE ADDAMS,2015-10-19,Gulli,Etats-Unis,0.465992,1.9,Monday,oui
"POKÉMON, LE FILM : DIANCIE ET LE COCON DE L'ANNIHILATION",2015-03-10,Gulli,JP,0.465992,2.5,Tuesday,non
LES AVENTURES DE ROBIN DES BOIS,2015-11-16,Gulli,Etats-Unis,0.465992,1.8,Monday,non
THE DESCENDANTS,2015-05-24,TF1 Séries Films,Etats-Unis,0.815486,3.6,Sunday,non
PIÈGE EN EAUX TROUBLES,2015-10-11,TF1 Séries Films,Etats-Unis,0.698988,2.6,Sunday,non
GLADIATOR,2015-06-18,TF1 Séries Films,Etats-Unis,0.698988,3.3,Thursday,non
CRÉANCE DE SANG,2015-03-01,TF1 Séries Films,Etats-Unis,0.698988,2.6,Sunday,oui
CODE MERCURY,2015-05-19,TF1 Séries Films,Etats-Unis,0.640739,2.6,Tuesday,non
TRAFFIC,2015-05-05,TF1 Séries Films,Etats-Unis,0.640739,2.7,Tuesday,non
INSIDE MAN : L'HOMME DE L'INTÉRIEUR,2015-09-20,TF1 Séries Films,Etats-Unis,0.640739,2.8,Sunday,non
GLADIATOR,2015-12-07,TF1 Séries Films,Etats-Unis,0.640739,2.7,Monday,non
AH ! SI J'ÉTAIS RICHE,2015-09-17,TF1 Séries Films,France,0.640739,2.5,Thursday,non
BATMAN BEGINS,2015-05-26,TF1 Séries Films,Royaume-Uni,0.58249,2.4,Tuesday,non
FAST AND FURIOUS 4,2015-03-31,NRJ12,Etats-Unis,1.339727,5.3,Tuesday,non
SOLEIL LEVANT,2015-01-13,NRJ12,Etats-Unis,1.106731,4.4,Tuesday,non
APOLLO 13,2015-08-18,NRJ12,Etats-Unis,0.990233,5.3,Tuesday,oui
ROAD HOUSE,2015-06-16,NRJ12,Etats-Unis,0.931984,3.9,Tuesday,non
PASSAGER 57,2015-03-17,NRJ12,Etats-Unis,0.873735,3.4,Tuesday,non
U-571,2015-06-02,NRJ12,Etats-Unis,0.873735,3.7,Tuesday,non
COMPLOTS,2015-03-24,NRJ12,Etats-Unis,0.815486,3.5,Tuesday,non
BLACK BOOK,2015-01-29,NRJ12,NL,0.815486,3.6,Thursday,non
TERMINATOR 3 : LE SOULEVEMENT DES MACHINES,2015-09-01,NRJ12,Etats-Unis,0.815486,3.3,Tuesday,oui
PIÈGE EN HAUTE MER,2015-05-26,NRJ12,Etats-Unis,0.815486,3.0,Tuesday,non
HÔTEL TRANSYLVANIE,2015-10-20,TFX,Etats-Unis,1.630972,6.0,Tuesday,oui
MEN IN BLACK 3,2015-04-30,TFX,Etats-Unis,1.456225,6.1,Thursday,non
JURASSIC PARK 3,2015-06-11,TFX,Etats-Unis,1.456225,6.1,Thursday,non
FAST AND FURIOUS 5,2015-04-02,TFX,Etats-Unis,1.397976,5.8,Thursday,non
BLANCHE-NEIGE ET LE CHASSEUR,2015-06-23,TFX,Etats-Unis,1.339727,5.5,Tuesday,non
GREEN LANTERN,2015-03-08,TFX,Etats-Unis,1.281478,5.1,Sunday,non
PERCY JACKSON : LA MER DES MONSTRES,2015-11-10,TFX,Etats-Unis,1.281478,4.9,Tuesday,non
SISSI,2015-11-29,TFX,AT,1.223229,4.7,Sunday,non
LE DIABLE S'HABILLE EN PRADA,2015-11-17,TFX,Etats-Unis,1.16498,4.4,Tuesday,non
MEN IN BLACK 2,2015-04-23,TFX,Etats-Unis,1.16498,4.7,Thursday,non
TAKERS,2015-03-29,RMC Story,Etats-Unis,0.465992,1.8,Sunday,non
LE NOUVEAU PROTOCOLE,2015-03-24,RMC Story,France,0.407743,1.7,Tuesday,non
DEEP IMPACT,2015-01-11,RMC Story,Etats-Unis,0.407743,1.6,Sunday,non
UN CRIME DANS LA TÊTE,2015-01-01,RMC Story,Etats-Unis,0.407743,1.6,Thursday,oui
WILL HUNTING,2015-04-12,RMC Story,Etats-Unis,0.407743,1.6,Sunday,oui
L'EFFET PAPILLON,2015-09-06,RMC Story,Etats-Unis,0.349494,1.6,Sunday,non
DOUBLE JEU,2015-05-11,RMC Story,Etats-Unis,0.349494,1.4,Monday,non
LE STRATÈGE,2015-02-26,RMC Story,Etats-Unis,0.349494,1.4,Thursday,oui
EN PLEINE TEMPÊTE,2015-04-09,RMC Story,Etats-Unis,0.349494,1.4,Thursday,oui
LA SOMME DE TOUTES LES PEURS,2015-08-30,RMC Story,Etats-Unis,0.349494,1.5,Sunday,oui
OBLIVION,2015-12-13,TMC,Etats-Unis,2.32996,9.4,Sunday,non
RETOUR VERS LE FUTUR 2,2015-10-22,TMC,Etats-Unis,1.980466,7.6,Thursday,oui
L'AGE DE GLACE 2,2015-12-22,TMC,Etats-Unis,1.922217,7.3,Tuesday,oui
RETOUR VERS LE FUTUR 3,2015-10-29,TMC,Etats-Unis,1.689221,6.6,Thursday,oui
DIE HARD : BELLE JOURNÉE POUR MOURIR,2015-12-14,TMC,Etats-Unis,1.689221,6.3,Monday,non
BATTLESHIP,2015-11-16,TMC,Etats-Unis,1.630972,6.4,Monday,non
EXPENDABLES 2 : UNITÉ SPÉCIALE,2015-10-05,TMC,Etats-Unis,1.572723,6.2,Monday,non
RETOUR VERS LE FUTUR,2015-10-15,TMC,Etats-Unis,1.514474,6.3,Thursday,non
MISSION IMPOSSIBLE 3,2015-12-17,TMC,Etats-Unis,1.514474,6.3,Thursday,non
"LE MONDE DE NARNIA, CHAPITRE 2 : LE PRINCE CASPIAN",2015-04-27,TMC,Royaume-Uni,1.514474,6.5,Monday,non
KILLER ELITE,2015-05-25,W9,Etats-Unis,1.863968,7.2,Monday,non
PIRATES DES CARAÏBES - LA FONTAINE DE JOUVENCE,2015-02-23,W9,Etats-Unis / Royaume-Uni,1.863968,7.3,Monday,oui
PIRATES DES CARAÏBES - LA MALÉDICTION DU BLACK PEARL,2015-02-16,W9,Etats-Unis,1.689221,6.8,Monday,oui
"PERCY JACKSON, LE VOLEUR DE FOUDRE",2015-05-04,W9,Etats-Unis,1.572723,6.2,Monday,non
PRETTY WOMAN,2015-02-05,W9,Etats-Unis,1.514474,6.2,Thursday,non
JOHN CARTER,2015-04-13,W9,Etats-Unis,1.514474,5.9,Monday,oui
TERMINATOR RENAISSANCE,2015-11-30,W9,Etats-Unis,1.514474,5.8,Monday,non
X-MEN ORIGINS : WOLVERINE,2015-12-07,W9,Etats-Unis,1.514474,5.6,Monday,non
ASTERIX ET LES VIKINGS,2015-02-17,W9,France,1.397976,5.2,Tuesday,oui
LE PETIT NICOLAS,2015-04-20,W9,France / Belgique,1.397976,5.2,Monday,oui
LES PROFS,2015-10-18,TF1,France,7.980113,28.5,Sunday,oui
CONTAGION,2015-01-18,TF1,Etats-Unis,7.222876,28.1,Sunday,non
LES BRONZÉS FONT DU SKI,2015-02-08,TF1,France,7.164627,26.1,Sunday,non
RIEN À DÉCLARER,2015-11-08,TF1,France / Belgique,6.582137,24.7,Sunday,non
ASTÉRIX ET OBÉLIX : MISSION CLÉOPATRE,2015-04-19,TF1,France,6.465639,25.7,Sunday,oui
INSIDE MAN : L'HOMME DE L'INTÉRIEUR,2015-01-25,TF1,Etats-Unis,6.40739,25.7,Sunday,non
UN PLAN PARFAIT,2015-05-31,TF1,France / Belgique,6.465639,27.9,Sunday,non
EXPENDABLES 2 : UNITÉ SPÉCIALE,2015-02-01,TF1,Etats-Unis,6.349141,24.9,Sunday,non
DIE HARD : BELLE JOURNÉE POUR MOURIR,2015-06-14,TF1,Etats-Unis,6.40739,26.4,Sunday,non
BATTLESHIP,2015-05-03,TF1,Etats-Unis,6.290892,26.4,Sunday,non
BELLE ET SÉBASTIEN,2015-12-21,M6,France,6.290892,22.6,Monday,oui
RED 2,2015-11-09,M6,Etats-Unis,4.368675,17.2,Monday,non
DE L'AUTRE CÔTÉ DU PÉRIPH,2015-10-08,M6,France,4.193928,17.4,Thursday,non
RED,2015-11-02,M6,Etats-Unis,4.07743,16.0,Monday,oui
THE AVENGERS,2015-04-21,M6,Etats-Unis,3.902683,16.7,Tuesday,non
RAIPONCE,2015-12-28,M6,Etats-Unis,3.611438,14.1,Monday,oui
TAKEN,2015-01-19,M6,France,3.320193,12.4,Monday,non
IRON MAN 3,2015-10-19,M6,Etats-Unis,3.378442,14.0,Monday,oui
LÀ-HAUT,2015-05-07,M6,Etats-Unis,3.320193,14.1,Thursday,non
TAKEN 2,2015-05-11,M6,France,3.203695,12.7,Monday,non
9 MOIS FERME,2016-03-06,France 2,France,4.92779,18.6,Sunday,non
LA FOLIE DES GRANDEURS,2016-01-03,France 2,France / Espagne / Italie,4.232102,16.1,Sunday,oui
LE PÈRE NOEL EST UNE ORDURE,2016-12-06,France 2,France,4.116154,15.2,Tuesday,non
JEUX DE POUVOIR,2016-10-02,France 2,Etats-Unis,3.884258,16.5,Sunday,non
LES CHORISTES,2016-10-23,France 2,France / CH,3.884258,14.7,Sunday,oui
NIGHT AND DAY,2016-12-11,France 2,Etats-Unis,3.884258,14.5,Sunday,non
LE CORNIAUD,2016-12-19,France 2,France / Italie,3.826284,13.5,Monday,oui
TELLEMENT PROCHES,2016-04-03,France 2,France,3.826284,14.5,Sunday,non
CAMPING,2016-01-31,France 2,France,3.826284,14.4,Sunday,non
INGLOURIOUS BASTERDS,2016-12-04,France 2,Etats-Unis,3.76831,16.4,Sunday,non
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE,2016-12-27,France 3,France / Hongrie / Espagne / Italie,4.290076,17.3,Tuesday,oui
MES HEROS,2016-01-28,France 3,France,3.652362,13.9,Thursday,non
PHILOMENA,2016-09-26,France 3,Royaume-Uni,3.18857,12.6,Monday,non
LE MUR DE L'ATLANTIQUE,2016-04-18,France 3,France / Italie,3.130596,12.0,Monday,oui
"LES GARCONS ET GUILLAUME, A TABLE",2016-04-07,France 3,France,2.956674,11.8,Thursday,non
PIECE MONTEE,2016-12-15,France 3,France,2.8987,11.6,Thursday,non
MONSIEUR BATIGNOLE,2016-01-21,France 3,France,2.782752,11.3,Thursday,non
DIALOGUE AVEC MON JARDINIER,2016-12-08,France 3,France,2.840726,11.6,Thursday,non
L'HEURE ZERO,2016-06-02,France 3,France,2.550856,10.1,Thursday,non
LE MAITRE D'ECOLE,2016-07-11,France 3,France,2.434908,10.1,Monday,oui
L'AGE DE GLACE 3 - LE TEMPS DES DINOSAURES,2016-10-26,France 4,Etats-Unis,1.681246,6.3,Wednesday,oui
CAPTAIN AMERICA : FIRST AVENGER,2016-04-21,France 4,Etats-Unis,1.275428,5.1,Thursday,oui
IRON MAN 2,2016-04-13,France 4,Etats-Unis,1.217454,5.1,Wednesday,oui
COWBOYS ET ENVAHISSEURS,2016-03-01,France 4,Etats-Unis,1.217454,4.6,Tuesday,non
"MON BEAU-PÈRE, MES PARENTS ET MOI",2016-06-07,France 4,Etats-Unis,1.101506,4.6,Tuesday,non
SEUL AU MONDE,2016-03-08,France 4,Etats-Unis,1.043532,4.5,Tuesday,non
SHUTTER ISLAND,2016-03-06,France 4,Etats-Unis,1.043532,4.3,Sunday,non
BLOOD DIAMOND,2016-01-27,France 4,Etats-Unis,0.985558,4.2,Wednesday,non
L'AGE DE GLACE 2,2016-07-05,France 4,Etats-Unis,0.985558,4.0,Tuesday,non
MON BEAU-PERE ET MOI,2016-05-31,France 4,Etats-Unis,0.927584,3.9,Tuesday,non
LE CLAN DES SICILIENS,2016-09-12,France 5,France,1.44935,6.2,Monday,non
VIOLETTE NOZIERE,2016-11-14,France 5,France / CA,1.275428,5.0,Monday,non
CESAR ET ROSALIE,2016-05-23,France 5,France / Italie / DE,1.275428,5.3,Monday,non
LE CRIME ETAIT PRESQUE PARFAIT,2016-11-07,France 5,Etats-Unis,1.217454,4.6,Monday,oui
CERTAINS L'AIMENT CHAUD,2016-10-03,France 5,Etats-Unis,1.217454,5.1,Monday,non
LA GRANDE EVASION,2016-06-06,France 5,Etats-Unis,1.217454,5.8,Monday,non
GARDE A VUE,2016-11-28,France 5,France,1.101506,4.0,Monday,non
UN DIMANCHE A LA CAMPAGNE,2016-05-30,France 5,France,0.985558,3.8,Monday,non
VAN GOGH,2016-10-31,France 5,France,0.985558,4.6,Monday,oui
PLATOON,2016-10-17,France 5,Etats-Unis,0.927584,3.7,Monday,non
OUT OF AFRICA,2016-03-28,France Ô,Etats-Unis,0.695688,2.7,Monday,non
DANGEREUSEMENT VOTRE,2016-11-21,France Ô,Royaume-Uni,0.637714,2.6,Monday,non
UNE VIE INACHEVEE,2016-12-12,France Ô,Etats-Unis,0.637714,2.3,Monday,non
JAMES BOND CONTRE DOCTEUR NO,2016-01-04,France Ô,Royaume-Uni,0.57974,2.2,Monday,oui
BONS BAISERS DE RUSSIE,2016-11-14,France Ô,Royaume-Uni,0.57974,2.1,Monday,non
ON NE VIT QUE DEUX FOIS,2016-11-28,France Ô,Royaume-Uni,0.521766,2.1,Monday,non
DANCE WITH ME,2016-02-15,France Ô,Etats-Unis,0.521766,1.8,Monday,oui
POINT BREAK,2016-02-01,France Ô,Etats-Unis,0.521766,1.9,Monday,non
PAPILLON,2016-04-04,France Ô,BS,0.463792,1.8,Monday,non
LE MAJORDOME,2016-11-08,France Ô,Etats-Unis,0.463792,1.8,Tuesday,non
BLACK BOOK,2016-10-16,Arte,NL,2.02909,8.5,Sunday,non
DANS LA BRUME ELECTRIQUE,2016-10-09,Arte,France / Etats-Unis,1.855168,7.0,Sunday,non
LA CARAVANE DE FEU,2016-09-19,Arte,Etats-Unis,1.623272,6.4,Monday,non
L'AMOUR EST UN CRIME PARFAIT,2016-11-30,Arte,France / CH,1.623272,6.6,Wednesday,non
COURS SANS TE RETOURNER,2016-12-05,Arte,France / DE,1.623272,6.2,Monday,non
OPERATION JUPONS,2016-03-21,Arte,Etats-Unis,1.565298,6.0,Monday,non
MARIE-OCTOBRE,2016-10-12,Arte,France,1.565298,6.2,Wednesday,non
LA NUIT DES GENERAUX,2016-03-13,Arte,France / Royaume-Uni,1.507324,6.6,Sunday,non
L'HOMME QUI N'A PAS D'ETOILE,2016-12-19,Arte,Etats-Unis,1.507324,5.1,Monday,oui
LE JUGE ET L'ASSASSIN,2016-01-06,Arte,France,1.44935,6.1,Wednesday,non
X-MEN ORIGINS : WOLVERINE,2016-07-05,6ter,Etats-Unis,0.753662,3.3,Tuesday,non
WILLOW,2016-04-03,6ter,Etats-Unis,0.753662,3.0,Sunday,non
S.O.S. FANTOMES,2016-08-30,6ter,Etats-Unis,0.753662,3.0,Tuesday,oui
NUMERO QUATRE,2016-02-21,6ter,Etats-Unis,0.695688,2.7,Sunday,oui
LE GARCON AU PYJAMA RAYE,2016-05-12,6ter,Royaume-Uni / Etats-Unis,0.637714,2.6,Thursday,non
CATWOMAN,2016-08-08,6ter,Etats-Unis,0.637714,2.9,Monday,oui
TRON : L'HERITAGE,2016-02-07,6ter,Etats-Unis,0.57974,2.2,Sunday,oui
BEETLE JUICE,2016-10-31,6ter,Etats-Unis,0.57974,2.4,Monday,oui
PRINCE OF PERSIA : LES SABLES DU TEMPS,2016-09-11,6ter,Royaume-Uni,0.57974,2.4,Sunday,non
L'ATTAQUE DU METRO 123,2016-01-03,6ter,Etats-Unis,0.521766,2.1,Sunday,oui
SCENES DE CRIMES,2016-06-09,Chérie 25,France,0.753662,3.3,Thursday,non
NE NOUS FACHONS PAS,2016-11-07,Chérie 25,France,0.637714,2.5,Monday,oui
SPACE COWBOYS,2016-12-01,Chérie 25,Etats-Unis,0.637714,2.7,Thursday,non
DOUBLE JEU,2016-11-10,Chérie 25,Etats-Unis,0.57974,2.4,Thursday,non
DES VENTS CONTRAIRES,2016-10-11,Chérie 25,France,0.57974,2.4,Tuesday,non
TENDRE POULET,2016-03-07,Chérie 25,France,0.521766,2.0,Monday,non
L'AFFAIRE PELICAN,2016-10-20,Chérie 25,Etats-Unis,0.521766,2.4,Thursday,non
L'OMBRE D'UN SOUPCON,2016-06-07,Chérie 25,Etats-Unis,0.521766,2.3,Tuesday,non
SLEEPERS,2016-12-08,Chérie 25,Etats-Unis,0.521766,2.3,Thursday,non
LE CLIENT,2016-10-27,Chérie 25,Etats-Unis,0.521766,2.1,Thursday,oui
HUNGER GAMES : L'EMBRASEMENT,2016-11-15,C8,Etats-Unis,1.971116,8.8,Tuesday,non
HOMEFRONT,2016-11-10,C8,Etats-Unis,1.44935,6.0,Thursday,non
LE CONTRAT,2016-04-18,C8,Etats-Unis,1.333402,5.7,Monday,oui
HUNGER GAMES,2016-11-14,C8,Etats-Unis,1.275428,5.9,Monday,non
RUSH HOUR 2,2016-05-24,C8,Etats-Unis,1.275428,5.5,Tuesday,non
REPAS DE FAMILLE,2016-12-26,C8,France,1.217454,5.1,Monday,oui
LE RETOUR DE DON CAMILLO,2016-07-04,C8,France / Italie,1.217454,5.7,Monday,non
LIMITLESS,2016-02-01,C8,Etats-Unis,1.15948,4.9,Monday,non
TRANSFORMERS : L'AGE DE L'EXTINCTION,2016-11-24,C8,Etats-Unis,1.101506,4.9,Thursday,non
SAFE,2016-03-28,C8,Etats-Unis,1.043532,4.1,Monday,non
LE TREIZIEME GUERRIER,2016-10-13,CStar,Etats-Unis,0.753662,3.1,Thursday,non
JUMANJI,2016-12-01,CStar,Etats-Unis,0.753662,3.2,Thursday,non
LE LIVRE D'ELI,2016-02-04,CStar,Etats-Unis,0.753662,3.0,Thursday,non
LA BATAILLE DES ARDENNES,2016-11-10,CStar,Etats-Unis,0.695688,3.1,Thursday,non
QUELQUES MESSIEURS TROP TRANQUILLES,2016-10-20,CStar,France,0.695688,2.8,Thursday,non
AMELIE AU PAYS DES BODIN'S,2016-07-28,CStar,France,0.637714,3.3,Thursday,oui
LE CASSE DU SIECLE,2016-02-11,CStar,Royaume-Uni,0.637714,2.6,Thursday,oui
DEMOLITION MAN,2016-04-07,CStar,Etats-Unis,0.637714,2.7,Thursday,non
RESIDENT EVIL : AFTERLIFE,2016-03-10,CStar,France / DE,0.637714,2.5,Thursday,non
LE DERNIER SAMARITAIN,2016-03-17,CStar,Etats-Unis,0.637714,2.6,Thursday,non
CHICKEN RUN,2016-12-22,Gulli,Royaume-Uni,0.927584,3.8,Thursday,oui
THE MASK,2016-02-23,Gulli,Etats-Unis,0.637714,2.3,Tuesday,non
HORTON,2016-02-05,Gulli,Etats-Unis,0.521766,2.5,Friday,non
ALPHA ET OMEGA,2016-04-12,Gulli,Etats-Unis,0.463792,1.8,Tuesday,oui
LA BELLE AMERICAINE,2016-02-01,Gulli,France,0.463792,1.8,Monday,non
LE SECRET DE LA PLANETE DES SINGES,2016-02-14,Gulli,Etats-Unis,0.463792,1.7,Sunday,oui
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR,2016-11-08,Gulli,Royaume-Uni,0.405818,1.7,Tuesday,non
PETTSON ET PICPUS : AMIS... POUR LA VIE,2016-08-04,Gulli,Allemagne,0.405818,2.1,Thursday,oui
LASSIE,2016-02-15,Gulli,France / IE / Royaume-Uni,0.405818,1.4,Monday,oui
VOYAGE AU CENTRE DE LA TERRE,2016-10-18,Gulli,Etats-Unis,0.405818,1.7,Tuesday,non
