TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
LES EVADÉS,2004-11-29,M6,Etats-Unis,5.28416,24.0,Monday,non
RONIN,2004-02-02,M6,Etats-Unis,4.96064,21.1,Monday,non
OCEAN'S ELEVEN,2005-02-20,France 2,Etats-Unis,8.8064,32.5,Sunday,oui
CHOUCHOU,2005-04-16,France 2,France,8.42112,35.2,Saturday,oui
EFFROYABLES JARDINS,2005-03-29,France 2,France,8.36608,33.3,Tuesday,non
L'OMBRE D'UN SOUPÇON,2005-02-13,France 2,Etats-Unis,7.59552,29.9,Sunday,oui
UN CRIME AU PARADIS,2005-01-30,France 2,France,7.32032,27.1,Sunday,non
PALE RIDER,2005-04-14,France 3,Etats-Unis,6.43968,26.6,Thursday,oui
LA HORSE,2005-06-09,France 3,France/Italie/Allemagne,5.83424,26.7,Thursday,non
"JOSEY WALES, HORS-LA-LOI",2005-06-02,France 3,Etats-Unis,5.33888,25.9,Thursday,non
L'ARME FATALE 3,2005-11-10,France 3,Etats-Unis,5.28384,21.0,Thursday,non
EN TOUTE COMPLICITÉ,2005-08-25,France 3,Etats-Unis,5.00864,23.9,Thursday,oui
ADIEU POULET,2005-11-17,Arte,France,2.69696,10.8,Thursday,non
CHARADE,2005-12-08,Arte,Etats-Unis,2.25664,9.0,Thursday,non
LE SIGNE DE ZORRO,2005-01-23,Arte,Etats-Unis,2.25664,8.8,Sunday,non
PENDEZ-LES HAUT ET COURT,2005-03-03,Arte,Etats-Unis,2.09152,8.1,Thursday,non
ASCENSEUR POUR L'ÉCHAFAUD,2005-11-03,Arte,France,1.98144,8.0,Thursday,oui
LE DÎNER DE CONS,2005-01-30,TF1,France,11.50336,41.9,Sunday,non
SPIDER-MAN,2005-10-23,TF1,Etats-Unis,11.06304,40.7,Sunday,oui
HORS D'ATTEINTE,2005-01-02,TF1,Etats-Unis,10.40256,41.6,Sunday,oui
LE JOURNAL DE BRIDGET JONES,2005-03-13,TF1,Royaume-Uni,10.01728,38.6,Sunday,non
LES RIVIÈRES POURPRES,2005-03-06,TF1,France,9.74208,38.5,Sunday,non
STAR WARS EPISODE 1: LA MENACE FANTÔME,2005-05-09,M6,Etats-Unis,6.82496,29.4,Monday,non
STAR WARS EPISODE 2: L'ATTAQUE DES CLONES,2005-05-16,M6,Etats-Unis,6.76992,29.3,Monday,non
LA GUERRE DES ÉTOILES,2005-05-23,M6,Etats-Unis,6.54976,26.6,Monday,non
LE RETOUR DU JEDI,2005-06-06,M6,Etats-Unis,6.3296,27.3,Monday,non
L'EMPIRE CONTRE-ATTAQUE,2005-05-30,M6,Etats-Unis,6.21952,25.7,Monday,non
LES CHORISTES,2006-04-25,France 2,France / Suisse,11.4923,42.7,Tuesday,non
HARRY POTTER ET LA CHAMBRE DES SECRETS,2006-01-01,France 2,Etats-Unis,7.62416,31.6,Sunday,oui
APRÈS VOUS,2006-05-09,France 2,France,6.7272,27.3,Tuesday,non
INSOMNIA,2006-01-15,France 2,Etats-Unis,6.67114,25.3,Sunday,non
MARIAGES !,2006-11-06,France 2,France,6.50296,25.7,Monday,oui
LE VIEUX FUSIL,2006-11-26,France 3,France / Allemagne,6.78326,24.8,Sunday,non
MALABAR PRINCESS,2006-11-30,France 3,France,5.71812,21.8,Thursday,non
LA FLEUR DU MAL,2006-02-02,France 3,France,5.49388,21.8,Thursday,non
CRÉANCE DE SANG,2006-02-09,France 3,Etats-Unis,5.38176,21.6,Thursday,non
LE TRIPORTEUR,2006-02-16,France 3,France,4.87722,18.8,Thursday,oui
CROC BLANC,2006-11-05,Arte,Etats-Unis,2.35452,8.8,Sunday,oui
ESPION LÈVE-TOI,2006-01-12,Arte,France,2.18634,8.6,Thursday,non
SOUS LE SABLE,2006-11-13,Arte,France,2.18634,8.6,Monday,non
LUKE LA MAIN FROIDE,2006-11-12,Arte,Etats-Unis,2.07422,8.1,Sunday,non
LA CHARGE HÉROÏQUE,2006-10-16,Arte,Etats-Unis,2.01816,7.9,Monday,non
LES BRONZÉS FONT DU SKI,2006-01-31,TF1,France,12.38926,43.2,Tuesday,non
LES BRONZÉS,2006-03-14,TF1,France,12.3332,47.6,Tuesday,non
PIRATES DES CARAÏBES : LA MALÉDICTION DU BLACK PEARL,2006-10-24,TF1,Etats-Unis,11.38018,45.8,Tuesday,oui
L'ENQUÊTE CORSE,2006-11-07,TF1,France,10.9317,43.1,Tuesday,non
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE,2006-11-14,TF1,France,10.6514,40.3,Tuesday,non
RETOUR VERS LE FUTUR 2,2006-04-24,M6,Etats-Unis,5.38176,21.9,Monday,oui
LA VÉRITÉ SI JE MENS 2,2006-10-31,M6,France,5.15752,22.7,Tuesday,oui
X-MEN 2,2006-05-22,M6,Etats-Unis,5.15752,21.4,Monday,non
LES EVADÉS,2006-11-13,M6,Etats-Unis,5.0454,22.4,Monday,non
RETOUR VERS LE FUTUR 3,2006-05-01,M6,Etats-Unis,5.0454,21.5,Monday,non
UN CRIME AU PARADIS,2007-02-11,France 2,France,7.70848,28.0,Sunday,oui
LE JOUR D'APRÈS,2007-10-21,France 2,Etats-Unis,6.34816,25.7,Sunday,oui
MON PETIT DOIGT M'A DIT…,2007-11-18,France 2,France,6.34816,25.7,Sunday,non
CHOUCHOU,2007-04-01,France 2,France,6.06476,23.5,Sunday,non
OCEAN'S ELEVEN,2007-03-11,France 2,Etats-Unis,5.78136,22.6,Sunday,non
MARIAGE MIXTE,2007-12-11,France 3,France,5.61132,22.6,Tuesday,non
CASQUE BLEU,2007-04-10,France 3,France,5.32792,21.5,Tuesday,oui
