TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
HELLBOY,2010-05-27,W9,Etats-Unis,1.459425,6.0,Thursday,non,tt0167190,6.9,357778
BIENVENUE CHES LES CH'TIS,2010-11-28,TF1,France,14.419119,51.0,Sunday,non,tt1064932,7.1,45885
ASTERIX AUX JEUX OLYMPIQUES,2010-10-24,TF1,France / Allemagne / Espagne / Italie,10.099221,38.4,Sunday,oui,tt0463872,5.2,33346
RATATOUILLE,2010-10-31,TF1,Etats-Unis,8.639796,35.9,Sunday,oui,tt0382932,8.1,863636
L'AGE DE GLACE 2,2010-02-14,TF1,Etats-Unis,7.764141,28.8,Sunday,oui,tt0438097,6.8,303809
HARRY POTTER ET L'ORDRE DU PHENIX,2010-11-21,TF1,Royaume-Uni,7.472256,30.4,Sunday,non,tt0373889,7.5,654239
NE LE DIS A PERSONNE,2010-10-18,M6,France,5.429061,23.0,Monday,non,tt0362225,7.5,58967
NANNY MCPHEE,2010-12-23,M6,Royaume-Uni,4.962045,19.7,Thursday,oui,tt0396752,6.6,87674
STAR WARS EPISODE 3 : LA REVANCHE DES SITH,2010-02-08,M6,Etats-Unis,4.67016,18.7,Monday,oui,tt0121766,7.6,866485
LA GUERRE DES ETOILES,2010-02-15,M6,Etats-Unis,4.553406,17.6,Monday,oui,tt0076759,8.6,1486805
STAR WARS EPISODE 2 : L'ATTAQUE DES CLONES,2010-02-01,M6,Etats-Unis,4.378275,17.9,Monday,non,tt0121765,6.6,777729
QUANTUM OF SOLACE,2011-12-04,France 2,Royaume-Uni,6.322644,21.9,Sunday,non,tt0830515,6.5,479298
LE PREMIER JOUR DU RESTE DE TA VIE,2011-02-13,France 2,France,4.917612,18.4,Sunday,oui,tt0926759,7.5,10180
MON PETIT DOIGT M'A DIT...,2011-12-11,France 2,France,4.859069,17.1,Sunday,non,tt0445570,5.8,1303
LE PERE NOEL EST UNE ORDURE,2011-12-18,France 2,France,4.800526,15.7,Sunday,oui,tt0416175,7.8,1520
LE CRIME EST NOTRE AFFAIRE,2011-05-01,France 2,France,4.800526,19.0,Sunday,non,tt1206478,6.0,1219
WASABI,2011-02-01,France 3,France,4.507811,16.6,Tuesday,non,tt0281364,6.6,43760
LA ZIZANIE,2011-03-03,France 3,France,4.039467,15.1,Thursday,non,tt0078528,6.4,4309
MEURS UN AUTRE JOUR,2011-08-25,France 3,Royaume-Uni,3.980924,17.7,Thursday,oui,tt0246460,6.1,232813
LE MONDE NE SUFFIT PAS,2011-08-18,France 3,Royaume-Uni,3.629666,18.1,Thursday,oui,tt0143145,6.4,213301
L'AILE OU LA CUISSE,2011-04-19,France 3,France,3.571123,13.5,Tuesday,oui,tt0074103,7.2,12760
"TOM HORN, SA VERITABLE HISTOIRE",2011-12-05,Arte,Etats-Unis,1.697747,5.8,Monday,non,tt0080031,6.8,6089
FULL METAL JACKET,2011-11-14,Arte,Royaume-Uni,1.580661,5.6,Monday,non,tt0093058,8.2,810618
SOUS LES VERROUS,2011-12-19,Arte,Etats-Unis,1.580661,5.1,Monday,oui,tt0022251,6.8,2918
LE NOM DE LA ROSE,2011-12-18,Arte,Allemagne / Italie / France,1.463575,5.1,Sunday,oui,tt0091605,7.7,120679
LE CHOIX DES ARMES,2011-11-06,Arte,France,1.405032,5.2,Sunday,oui,tt0082173,6.9,2095
UNE JOURNEE EN ENFER,2011-11-13,W9,Etats-Unis,2.107548,8.2,Sunday,non,tt0112864,7.6,416392
RASTA ROCKETT,2011-12-18,W9,Etats-Unis,2.049005,6.8,Sunday,oui,tt0106611,7.0,116615
PIEGE DE CRISTAL,2011-10-30,W9,Etats-Unis,1.931919,7.8,Sunday,oui,tt0095016,8.2,976137
ASTERIX LE GAULOIS,2011-07-25,W9,France,1.814833,7.5,Monday,oui,tt0061369,6.6,12282
BAD BOYS II,2011-10-09,W9,Etats-Unis,1.75629,7.1,Sunday,non,tt0172156,6.6,277907
DE L'AUTRE COTE DU LIT,2011-02-06,TF1,France,9.425423,35.3,Sunday,non,tt1275590,5.5,2882
DIE HARD 4 - RETOUR EN ENFER,2011-05-22,TF1,Etats-Unis,9.015622,37.7,Sunday,non,tt0337978,7.1,426225
LOL - LAUGHING OUT LOUD,2011-11-27,TF1,France,8.313106,28.7,Sunday,non,tt1194616,6.2,9832
LE CODE A CHANGE,2011-09-04,TF1,France,8.137477,32.2,Sunday,oui,tt1193088,5.8,2150
PRETE-MOI TA MAIN,2011-01-23,TF1,France,8.078934,29.3,Sunday,non,tt0478724,6.7,6690
