TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
SUNSHINE,2017-08-13,RMC Story,Royaume-Uni,0.29056,1.6,Sunday,oui,tt0448134,7.2,273261
HATCHI,2017-12-31,RMC Story,Etats-Unis,0.29056,1.8,Sunday,oui,tt1028532,8.1,321905
ON A RETROUVE LA 7EME COMPAGNIE,2017-05-18,TMC,France,2.32448,9.5,Thursday,non,tt0075007,6.7,1922
MAIS OU EST DONC PASSEE LA 7EME COMPAGNIE,2017-05-11,TMC,France / Italie,2.266368,9.2,Thursday,non,tt0070356,6.9,2574
MEN IN BLACK 3,2017-05-22,TMC,Etats-Unis,2.092032,8.7,Monday,non,tt1409024,6.8,395878
LA 7EME COMPAGNIE AU CLAIR DE LUNE,2017-05-25,TMC,France,2.092032,9.6,Thursday,non,tt0076684,6.2,1651
LA MORT DANS LA PEAU,2017-12-18,TMC,Etats-Unis,1.74336,7.4,Monday,non,tt0372183,7.7,495575
BARBECUE,2017-05-04,TMC,France,1.685248,6.8,Thursday,non,tt3202120,6.1,3301
L'AGENCE TOUS RISQUES,2017-01-30,TMC,Etats-Unis,1.569024,6.4,Monday,non,tt0429493,6.7,271696
LES GARDIENS DE LA GALAXIE,2017-10-30,TMC,Etats-Unis,1.510912,6.4,Monday,oui,tt2015381,8.0,1300766
BABYSITTING,2017-02-20,TMC,France,1.510912,5.7,Monday,oui,tt3013602,6.7,12486
MEN IN BLACK,2017-05-08,TMC,Etats-Unis,1.510912,6.0,Monday,non,tt0119654,7.3,629375
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2017-11-27,W9,Etats-Unis,2.208256,8.6,Monday,non,tt0367882,6.2,498809
INDIANA JONES ET LA DERNIERE CROISADE,2017-11-20,W9,Etats-Unis,1.801472,7.3,Monday,non,tt0097576,8.2,828518
IRON MAN,2017-01-17,W9,Etats-Unis,1.627136,6.3,Tuesday,non,tt0371746,7.9,1154324
DIVERGENTE,2017-03-27,W9,Etats-Unis,1.627136,7.2,Monday,non,tt1840309,6.6,499638
SISTER ACT,2017-04-17,W9,Etats-Unis,1.4528,5.8,Monday,oui,tt0105417,6.5,111864
NE LE DIS A PERSONNE,2017-02-13,W9,France,1.4528,6.3,Monday,oui,tt0362225,7.5,58967
LES AVENTURIERS DE L'ARCHE PERDUE,2017-11-06,W9,Etats-Unis,1.394688,5.4,Monday,oui,tt0082971,8.4,1060775
UNE JOURNEE EN ENFER,2017-09-25,W9,Etats-Unis,1.394688,5.8,Monday,non,tt0112864,7.6,416392
"SISTER ACT, ACTE 2",2017-04-24,W9,Etats-Unis,1.394688,5.5,Monday,oui,tt0108147,5.7,60514
PRETTY WOMAN,2017-01-24,W9,Etats-Unis,1.336576,5.3,Tuesday,non,tt0100405,7.1,377765
BIENVENUE CHEZ LES CH'TIS,2017-01-22,TF1,France,8.774912,34.3,Sunday,non,tt1064932,7.1,45885
LES BRONZES FONT DU SKI,2017-02-12,TF1,France,8.019456,30.6,Sunday,oui,tt0078907,7.4,9478
INTOUCHABLES,2017-05-14,TF1,France,7.961344,32.4,Sunday,non,tt1675434,8.5,959679
LUCY,2017-03-26,TF1,France,7.961344,31.1,Sunday,non,tt2872732,6.4,548632
SAN ANDREAS,2017-11-19,TF1,Etats-Unis,6.740992,27.5,Sunday,non,tt2126355,6.1,263290
SAMBA,2017-03-19,TF1,France,6.159872,25.7,Sunday,non,tt3399024,6.7,17512
ASTERIX ET OBELIX : MISSION CLEOPATRE,2017-10-24,TF1,France,6.10176,24.0,Tuesday,oui,tt0250223,6.7,59362
SPY,2017-12-17,TF1,Etats-Unis,6.043648,24.3,Sunday,non,tt3079380,7.0,264474
LES GARDIENS DE LA GALAXIE,2017-04-30,TF1,Etats-Unis,5.869312,23.6,Sunday,non,tt2015381,8.0,1300766
ROBIN DES BOIS,2017-01-08,TF1,Royaume-Uni,5.8112,24.6,Sunday,non,tt0955308,6.6,288365
PAPA OU MAMAN,2017-06-05,M6,France,4.184064,16.3,Monday,non,tt4080672,6.0,5022
ASTERIX : LE DOMAINE DES DIEUX,2017-10-30,M6,France / Belgique,4.125952,15.5,Monday,oui,tt3759416,6.9,15835
KINGSMAN : SERVICES SECRETS,2017-10-05,M6,Etats-Unis / Royaume-Uni,3.951616,18.0,Thursday,non,tt2802144,7.7,739743
INDIANA JONES ET LE TEMPLE MAUDIT,2017-02-20,M6,Etats-Unis,3.719168,15.3,Monday,oui,tt0087469,7.5,546113
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2017-03-06,M6,Etats-Unis,3.661056,16.3,Monday,non,tt0367882,6.2,498809
LES AVENTURIERS DE L'ARCHE PERDUE,2017-02-13,M6,Etats-Unis,3.661056,15.5,Monday,oui,tt0082971,8.4,1060775
LE PRENOM,2017-01-16,M6,France,3.661056,14.3,Monday,non,tt2179121,7.3,18997
INDIANA JONES ET LA DERNIERE CROISADE,2017-02-27,M6,Etats-Unis,3.544832,15.4,Monday,oui,tt0097576,8.2,828518
LES VACANCES DU PETIT NICOLAS,2017-08-29,M6,France,3.370496,15.3,Tuesday,oui,tt3019796,6.2,3598
TAKEN 3,2017-06-08,M6,France,3.254272,14.0,Thursday,non,tt2446042,6.0,208086
RAID DINGUE,2017-12-29,Canal +,France,1.975808,8.0,Friday,oui,tt5736696,5.6,4646
RADIN !,2017-09-01,Canal +,France,1.278464,5.1,Friday,oui,tt5253294,5.9,6282
CAMPING 3,2017-05-05,Canal +,France,1.16224,4.3,Friday,non,tt4979860,4.4,1179
JACK REACHER : NEVER GO BACK,2017-09-02,Canal +,Etats-Unis,0.987904,4.8,Saturday,oui,tt3393786,6.2,182459
ROGUE ONE : A STAR WARS STORY,2017-12-22,Canal +,Etats-Unis,0.987904,4.3,Friday,non,tt3748528,7.8,704125
IL A DEJA TES YEUX,2017-12-15,Canal +,France,0.813568,3.2,Friday,non,tt5256722,6.2,3364
L'ASCENSION,2017-12-27,Canal +,France,0.813568,3.4,Wednesday,oui,tt0075404,8.2,10705
DEADPOOL,2017-01-06,Canal +,Etats-Unis,0.813568,3.2,Friday,non,tt1431045,8.0,1184074
TARZAN,2017-05-12,Canal +,Royaume-Uni,0.755456,3.0,Friday,non,tt0120855,7.3,254952
LES SEPT MERCENAIRES,2017-09-15,Canal +,Etats-Unis,0.697344,3.0,Friday,non,tt2404435,6.9,233955
L'ETUDIANTE ET MONSIEUR HENRI,2018-02-25,France 2,France,4.416512,17.2,Sunday,oui,tt4948452,6.7,4783
SKYFALL,2018-10-21,France 2,Europe,4.143844,18.4,Sunday,oui,tt1074638,7.8,744220
CONTAGION,2018-01-21,France 2,Etats-Unis,4.06784,16.1,Sunday,non,tt1598778,6.8,321060
007 SPECTRE,2018-10-14,France 2,Europe,4.027116,18.3,Sunday,non,tt2379713,6.8,476053
LES TONTONS FLINGUEURS,2018-01-07,France 2,France,3.951616,15.7,Sunday,oui,tt0057591,7.7,6773
MEDECIN DE CAMPAGNE,2018-09-16,France 2,France,3.852024,16.5,Sunday,non,tt5078326,6.5,3353
BOOMERANG,2018-02-04,France 2,France,3.719168,13.6,Sunday,non,tt0103859,5.6,32110
LE PERE NOEL EST UNE ORDURE,2018-12-16,France 2,France,3.676932,13.9,Sunday,non,tt0416175,7.8,1520
LOLO,2018-04-15,France 2,France,3.602944,13.7,Sunday,oui,tt4085944,5.7,4495
"MISSION : IMPOSSIBLE, ROGUE NATION",2018-03-18,France 2,Etats-Unis,3.544832,14.9,Sunday,non,tt2381249,7.4,420001
BON RETABLISSEMENT,2018-07-09,France 3,France,3.151656,15.2,Monday,oui,tt3399054,5.8,783
JACK REACHER,2018-02-01,France 3,Etats-Unis,3.138048,14.0,Thursday,non,tt0790724,7.0,374803
LES NEIGES DU KILIMANDJARO,2018-05-10,France 3,France,3.093292,13.6,Thursday,non,tt0045162,6.1,6083
LE MUR DE L'ATLANTIQUE,2018-06-11,France 3,France,3.034928,13.2,Monday,non,tt0066108,5.8,885
LA RITOURNELLE,2018-03-01,France 3,France,2.789376,11.2,Thursday,non,tt3104572,6.4,1050
LA PROCHAINE FOIS JE VISERAI LE COEUR,2018-01-11,France 3,France,2.731264,11.1,Thursday,non,tt3324494,6.4,3289
L'ARMEE DES OMBRES,2018-06-04,France 3,France,2.62638,12.3,Monday,non,tt0064040,8.1,27099
"36, QUAI DES ORFEVRES",2018-01-18,France 3,France,2.498816,10.3,Thursday,non,tt0390808,7.1,18604
VERY BAD TRIP,2018-07-16,France 3,Etats-Unis,2.217832,10.6,Monday,oui,tt1119646,7.7,871704
DANSE AVEC LES LOUPS,2018-12-27,France 3,Etats-Unis,2.217832,11.5,Thursday,oui,tt0099348,8.0,297532
"MISSION : IMPOSSIBLE, PROTOCOLE FANTOME",2018-03-21,France 4,Etats-Unis,1.510912,6.3,Wednesday,non,tt1229238,7.4,537463
LA CHEVRE,2018-02-21,France 4,France,1.336576,5.1,Wednesday,oui,tt0082183,7.3,11058
LA NUIT AU MUSEE,2018-01-03,France 4,Etats-Unis,1.104128,4.3,Wednesday,oui,tt0477347,6.5,387979
LE HOBBIT : UN VOYAGE INATTENDU,2018-09-27,France 4,,1.050552,5.8,Thursday,non,tt0903624,7.8,893077
THOR,2018-11-29,France 4,Etats-Unis,1.050552,4.4,Thursday,non,tt0800369,7.0,920484
"E.T., L'EXTRATERRESTRE",2018-04-25,France 4,Etats-Unis,0.987904,3.7,Wednesday,non,tt0083866,7.9,448417
LES EVADES,2018-01-28,France 4,Etats-Unis,0.987904,4.2,Sunday,non,tt0111161,9.3,2984330
CAPTAIN AMERICA : FIRST AVENGER,2018-04-01,France 4,Etats-Unis,0.987904,4.0,Sunday,non,tt0458339,6.9,918040
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,2018-10-03,France 4,,0.933824,4.9,Wednesday,non,tt0167261,8.8,1841667
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,2018-10-04,France 4,,0.933824,5.5,Thursday,non,tt0167260,9.0,2042249
UN TAXI POUR TOBROUK,2018-10-08,France 5,France,1.400736,5.7,Monday,non,tt0054425,7.2,2142
LE TRAIN SIFFLERA TROIS FOIS,2018-11-26,France 5,Etats-Unis,1.284008,4.7,Monday,non,tt0044706,7.9,112440
L'HORLOGER DE SAINT-PAUL,2018-09-17,France 5,France,1.050552,4.4,Monday,non,tt0071622,7.1,2928
DOUZE HOMMES EN COLERE,2018-10-15,France 5,Etats-Unis,1.050552,4.3,Monday,non,tt0050083,9.0,902440
UNE AFFAIRE DE FEMMES,2018-05-07,France 5,France,0.992188,4.5,Monday,non,tt0096336,7.5,5959
POLICE PYTHON 357,2018-11-12,France 5,France,0.992188,4.3,Monday,non,tt0075082,6.9,2139
MILLE MILLIARDS DE DOLLARS,2018-10-29,France 5,France,0.992188,4.1,Monday,oui,tt0082749,7.0,1036
IL ETAIT UNE FOIS EN AMERIQUE,2018-12-17,France 5,Etats-Unis,0.992188,5.5,Monday,non,tt0087843,8.3,388772
LES CHOSES DE LA VIE,2018-03-26,France 5,France,0.929792,3.3,Monday,non,tt0064165,7.4,5790
LES FELINS,2018-09-10,France 5,France,0.87546,3.6,Monday,non,tt0058123,7.0,3130
LA MORT AUX TROUSSES,2018-12-27,Arte,Etats-Unis,1.692556,7.6,Thursday,oui,tt0053125,8.3,356528
PRESUME INNOCENT,2018-04-09,Arte,Etats-Unis,1.685248,6.4,Monday,oui,tt0100404,6.9,49275
21 NUITS AVEC PATTIE,2018-04-18,Arte,France,1.510912,6.2,Wednesday,oui,tt4022440,6.2,684
L'EVADE D'ALCATRAZ,2018-12-16,Arte,Etats-Unis,1.4591,5.7,Sunday,non,tt0079116,7.6,151145
LES VOLEURS,2018-10-22,Arte,France,1.4591,5.6,Monday,oui,tt0118100,6.7,2314
L'HEURE D'ETE,2018-01-17,Arte,France,1.4528,5.6,Wednesday,non,tt0836700,7.1,8311
COUP DE TORCHON,2018-02-12,Arte,France,1.4528,5.4,Monday,oui,tt0082206,7.3,6919
LES TROIS JOURS DU CONDOR,2018-03-04,Arte,Etats-Unis,1.4528,5.8,Sunday,non,tt0073802,7.4,64769
RIENS DU TOUT,2018-01-24,Arte,France,1.4528,5.5,Wednesday,non,tt0105260,6.4,913
ADIEU POULET,2018-06-10,Arte,France,1.400736,5.8,Sunday,non,tt0072603,6.9,1935
SISTER ACT,2018-03-04,6ter,Etats-Unis,0.987904,4.1,Sunday,non,tt0105417,6.5,111864
PIRATES DES CARAIBES : LA FONTAINE DE JOUVENCE,2018-12-09,6ter,Etats-Unis,0.817096,3.4,Sunday,non,tt1298650,6.6,578058
LE GENDARME EN BALADE,2018-08-23,6ter,France,0.817096,4.3,Thursday,oui,tt0065769,6.5,7655
LES INDESTRUCTIBLES,2018-04-08,6ter,Etats-Unis,0.813568,3.3,Sunday,oui,tt0317705,8.0,838379
"SISTER ACT, ACTE 2",2018-03-11,6ter,Etats-Unis,0.813568,3.2,Sunday,non,tt0108147,5.7,60514
PIRATES DES CARAIBES : LA MALEDICTION DU BLACK PEARL,2018-12-02,6ter,Etats-Unis,0.758732,3.4,Sunday,non,tt0325980,8.1,1245178
LE GENDARME SE MARIE,2018-08-16,6ter,France,0.758732,4.0,Thursday,oui,tt0063005,6.8,8882
JUST MARRIED (OU PRESQUE),2018-10-04,6ter,Etats-Unis,0.700368,3.3,Thursday,non,tt0163187,5.6,106513
"ROBIN DES BOIS, PRINCE DES VOLEURS",2018-11-25,6ter,Europe,0.700368,3.2,Sunday,non,tt0102798,6.9,213313
LE GENDARME A NEW YORK,2018-08-09,6ter,France,0.700368,3.8,Thursday,oui,tt0060450,6.4,8674
SEVEN,2018-01-08,C8,Etats-Unis,1.4528,6.5,Monday,oui,tt0114369,8.6,1866337
SAN ANDREAS,2018-04-02,C8,Etats-Unis,1.394688,5.9,Monday,non,tt2126355,6.1,263290
TERMINATOR : GENISYS,2018-04-09,C8,Etats-Unis,1.220352,5.3,Monday,oui,tt1340138,6.3,297659
LE DERNIER REMPART,2018-01-18,C8,Etats-Unis,1.220352,5.4,Thursday,non,tt1549920,6.3,147194
"HUNGER GAMES : LA REVOLTE, PARTIE 2",2018-05-31,C8,Etats-Unis,1.16728,5.6,Thursday,non,tt1951266,6.6,386290
X-MEN : LE COMMENCEMENT,2018-03-01,C8,Etats-Unis,1.16224,5.5,Thursday,non,tt1270798,7.7,739733
BABY-SITTOR,2018-02-22,C8,Etats-Unis,1.16224,5.1,Thursday,oui,tt0395699,5.6,102862
MARIAGE CHEZ LES BODIN'S,2018-11-20,C8,France,1.108916,5.1,Tuesday,non,tt1309463,5.6,65
SICARIO,2018-06-25,C8,Etats-Unis,1.108916,5.4,Monday,non,tt3397884,7.7,495810
ARRETE-MOI SI TU PEUX,2018-03-05,C8,Etats-Unis,1.104128,5.8,Monday,non,tt0264464,8.1,1138770
"MILLENIUM, LE FILM",2018-05-24,Chérie 25,Europe,0.642004,3.4,Thursday,non,tt1132620,7.8,225507
L'IVRESSE DU POUVOIR,2018-10-29,Chérie 25,France,0.642004,2.7,Monday,oui,tt0463486,6.3,3106
APPARITIONS,2018-02-08,Chérie 25,Etats-Unis,0.639232,2.6,Thursday,non,tt0259288,6.1,40613
THE OTHER MAN,2018-11-01,Chérie 25,Europe,0.58364,2.5,Thursday,oui,tt0974613,5.4,12582
BRAVEHEART,2018-11-08,Chérie 25,Etats-Unis,0.58364,3.1,Thursday,non,tt0112573,8.3,1115558
LE COLLECTIONNEUR,2018-05-17,Chérie 25,Etats-Unis,0.58364,2.5,Thursday,non,tt0119468,6.6,92806
DOUBLE JEU,2018-03-01,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non,tt0150377,6.5,98602
HAUTE VOLTIGE,2018-02-15,Chérie 25,Etats-Unis,0.58112,2.6,Thursday,oui,tt0137494,6.3,126000
PLUS JAMAIS,2018-03-15,Chérie 25,Etats-Unis,0.58112,2.3,Thursday,non,tt0278435,5.8,49016
LES PLEINS POUVOIRS,2018-04-05,Chérie 25,Etats-Unis,0.58112,2.7,Thursday,non,tt0118548,6.7,61611
L'IMMORTEL,2018-11-29,CStar,France,0.817096,3.5,Thursday,non,tt1167638,6.6,36979
IMOGENE MCCARTHERY,2018-05-03,CStar,France,0.758732,3.0,Thursday,non,tt1376421,5.4,376
HORS DE CONTROLE,2018-05-17,CStar,Etats-Unis,0.758732,3.4,Thursday,non,tt1226273,6.6,100685
"JOHNNY ENGLISH, LE RETOUR",2018-10-22,CStar,Europe,0.642004,2.4,Monday,oui,tt1634122,6.3,143955
TRACERS,2018-03-08,CStar,Etats-Unis,0.639232,2.6,Thursday,non,tt2401097,5.6,20355
LARA CROFT : TOMB RAIDER,2018-09-27,CStar,Etats-Unis,0.58364,2.6,Thursday,non,tt0146316,5.8,222750
LE FLIC DE SAN FRANCISCO,2018-05-24,CStar,Etats-Unis,0.58364,2.7,Thursday,non,tt0119664,5.6,29652
EN TERRITOIRE ENNEMI,2018-02-22,CStar,Etats-Unis,0.58112,2.4,Thursday,oui,tt0159273,6.4,115057
BABY-SITTOR,2018-11-22,CStar,Etats-Unis,0.525276,2.1,Thursday,non,tt0395699,5.6,102862
STAR TREK,2018-11-01,CStar,Etats-Unis,0.525276,2.6,Thursday,oui,tt0796366,7.9,626315
ALVIN ET LES CHIPMUNKS 3,2018-04-26,Gulli,Etats-Unis,0.813568,3.3,Thursday,non,tt1615918,4.4,41090
MUNE,2018-04-30,Gulli,France,0.700368,2.6,Monday,non,tt3858372,7.1,8310
BEETHOVEN 2,2018-11-20,Gulli,Etats-Unis,0.642004,2.6,Tuesday,non,tt0106375,5.0,30300
PETER PAN,2018-12-11,Gulli,Etats-Unis,0.642004,2.5,Tuesday,non,tt0046183,7.3,157344
ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE,2018-10-22,Gulli,Etats-Unis,0.58364,2.3,Monday,oui,tt2974918,4.9,23571
DOCTEUR DOLITTLE 2,2018-12-04,Gulli,Etats-Unis,0.58364,2.4,Tuesday,non,tt0240462,4.7,48235
DOCTEUR DOLITTLE,2018-11-27,Gulli,Etats-Unis,0.525276,2.1,Tuesday,non,tt0118998,5.4,103990
ARTHUR ET LES MINIMOYS,2018-10-23,Gulli,France,0.525276,2.2,Tuesday,oui,tt0344854,6.0,42010
GARFIELD 2,2018-02-22,Gulli,Etats-Unis,0.523008,2.2,Thursday,oui,tt0455499,5.0,48669
LA BELLE AU BOIS DORMANT ET LES 7 NAINS,2018-03-01,Gulli,Europe,0.523008,2.0,Thursday,non,tt2914892,4.6,1387
KISS AND KILL,2018-06-12,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non,tt7144296,2.9,1198
LE PIC DE DANTE,2018-11-06,NRJ12,Etats-Unis,0.817096,3.4,Tuesday,non,tt0118928,6.0,102035
SAHARA,2018-06-19,NRJ12,Europe,0.758732,3.5,Tuesday,non,tt0318649,6.1,105602
LE CODE A CHANGE,2018-10-18,NRJ12,France,0.758732,3.3,Thursday,non,tt1193088,5.8,2150
MISSION : IMPOSSIBLE,2018-06-26,NRJ12,Etats-Unis,0.758732,3.4,Tuesday,non,tt0117060,7.2,481598
BLITZ,2018-11-22,NRJ12,Europe,0.758732,3.2,Thursday,non,tt1297919,6.1,93025
LES INCORRUPTIBLES ,2018-10-02,NRJ12,Etats-Unis,0.758732,3.3,Tuesday,non,tt0094226,7.8,338508
"MILLENIUM, LE FILM",2018-01-14,NRJ12,Europe,0.755456,3.6,Sunday,non,tt1132620,7.8,225507
L'ATTAQUE DU METRO 123,2018-02-13,NRJ12,Etats-Unis,0.755456,3.0,Tuesday,oui,tt1111422,6.4,211205
LES TROIS PROCHAINS JOURS,2018-04-03,NRJ12,Etats-Unis,0.755456,3.2,Tuesday,non,tt1458175,7.3,209956
BANCS PUBLICS (VERSAILLES RIVE DROITE),2018-12-16,RMC Story,France,0.525276,2.0,Sunday,non,tt1156505,5.9,870
DETECTIVE DEE 2 : LA LEGENDE DU DRAGON DES MERS,2018-12-30,RMC Story,,0.466912,2.1,Sunday,oui,tt2992146,6.4,5290
DES HOMMES SANS LOI,2018-10-14,RMC Story,Etats-Unis,0.466912,1.9,Sunday,non,tt1212450,7.2,256900
BLOOD DIAMOND,2018-11-18,RMC Story,Etats-Unis,0.408548,1.7,Sunday,non,tt0450259,8.0,599617
LE BAISER MORTEL DU DRAGON,2018-09-16,RMC Story,France,0.408548,1.8,Sunday,non,tt0271027,6.6,67591
L'AIGLE DE LA NEUVIEME LEGION,2018-09-30,RMC Story,Europe,0.408548,1.7,Sunday,non,tt1034389,6.2,75348
MASTER AND COMMANDER : DE L'AUTRE COTE DU MONDE,2018-10-07,RMC Story,Etats-Unis,0.350184,1.4,Sunday,non,tt0311113,7.5,243608
"LULU, FEMME NUE",2018-12-02,RMC Story,France,0.350184,1.4,Sunday,non,tt2593230,6.6,884
POSEIDON,2018-11-25,RMC Story,Etats-Unis,0.350184,1.3,Sunday,non,tt0409182,5.7,112151
MR. HOLMES,2018-10-21,RMC Story,Europe,0.29182,1.2,Sunday,oui,tt3168230,6.8,68940
L'ARME FATALE 4,2018-04-05,TF1 Séries Films,Etats-Unis,1.220352,5.4,Thursday,non,tt0122151,6.6,175212
L'ARME FATALE 3,2018-03-29,TF1 Séries Films,Etats-Unis,1.220352,5.3,Thursday,non,tt0104714,6.7,182192
L'ARME FATALE 2,2018-03-22,TF1 Séries Films,Etats-Unis,0.987904,4.1,Thursday,non,tt0097733,7.3,193347
L'ARME FATALE,2018-03-15,TF1 Séries Films,Etats-Unis,0.987904,4.0,Thursday,non,tt0093409,7.6,283376
LE FUGITIF,2018-11-15,TF1 Séries Films,Etats-Unis,0.933824,4.4,Thursday,non,tt0106977,7.8,327806
FURY,2018-01-29,TF1 Séries Films,Etats-Unis,0.929792,3.9,Monday,non,tt2713180,7.6,566952
VOYAGE AU CENTRE DE LA TERRE 2 : L'ILE MYSTERIEUSE,2018-02-22,TF1 Séries Films,Etats-Unis,0.929792,3.9,Thursday,oui,tt1397514,5.7,114935
CREANCE DE SANG,2018-02-05,TF1 Séries Films,Etats-Unis,0.87168,3.3,Monday,non,tt0309377,6.4,48840
L'EFFACEUR,2018-03-25,TF1 Séries Films,Etats-Unis,0.87168,3.5,Sunday,non,tt0116213,6.2,120242
ANGES ET DEMONS,2018-04-22,TF1 Séries Films,Etats-Unis,0.87168,4.0,Sunday,oui,tt0808151,6.7,314667
BIENVENUE A MARLY-GOMONT,2018-12-30,TFX,France,1.225644,5.1,Sunday,oui,tt5555502,7.0,12134
FAST AND FURIOUS VII,2018-01-30,TFX,Etats-Unis,0.987904,4.4,Tuesday,non,tt2820852,7.1,422392
OBLIVION,2018-02-15,TFX,Etats-Unis,0.987904,4.5,Thursday,oui,tt1483013,7.0,564155
ROBIN DES BOIS,2018-11-25,TFX,Europe,0.933824,4.0,Sunday,non,tt0955308,6.6,288365
LE PARI,2018-10-21,TFX,France,0.87546,3.4,Sunday,oui,tt0119863,6.3,4435
PALAIS ROYAL !,2018-05-22,TFX,France,0.87546,3.5,Tuesday,non,tt0424338,5.6,2217
GLADIATOR,2018-05-13,TFX,Etats-Unis,0.87546,3.9,Sunday,non,tt0172495,8.5,1710946
JOKER,2018-10-07,TFX,Etats-Unis,0.87546,3.5,Sunday,non,tt7286456,8.3,1572597
FAST AND FURIOUS V,2018-02-06,TFX,Etats-Unis,0.87168,3.7,Tuesday,non,tt1596343,7.3,415669
VOISINS DU TROISIEME TYPE,2018-11-08,TFX,Etats-Unis,0.817096,3.6,Thursday,non,tt1298649,5.7,134398
JURASSIC WORLD,2018-11-26,TMC,Etats-Unis,1.809284,7.8,Monday,non,tt0369610,6.9,693217
LE TRANSPORTEUR II,2018-04-02,TMC,France,1.627136,6.3,Monday,non,tt0388482,6.3,219158
JURASSIC PARK III,2018-12-17,TMC,Etats-Unis,1.4591,6.0,Monday,non,tt0163025,5.9,348040
SALT,2018-03-08,TMC,Etats-Unis,1.4528,6.1,Thursday,non,tt0944835,6.5,335052
HARRY POTTER ET LA COUPE DE FEU,2018-04-23,TMC,Europe,1.4528,7.8,Monday,oui,tt0330373,7.7,704101
HARRY POTTER ET LE PRISONNIER D'AZKABAN,2018-04-16,TMC,Europe,1.4528,6.3,Monday,oui,tt0304141,7.9,715692
LE MONDE PERDU,2018-12-10,TMC,Etats-Unis,1.400736,6.2,Monday,non,tt0119567,6.6,453413
AVENGERS : L'ERE D'ULTRON,2018-04-26,TMC,Etats-Unis,1.394688,7.0,Thursday,non,tt2395427,7.3,945763
EXPENDABLES 3,2018-10-08,TMC,Etats-Unis,1.342372,6.6,Monday,non,tt2333784,6.1,199651
STAR WARS EPISODE 7 : LE REVEIL DE LA FORCE,2018-11-19,TMC,Etats-Unis,1.342372,6.4,Monday,non,tt2488496,7.8,989898
RED,2018-11-12,W9,Etats-Unis,2.04274,8.7,Monday,non,tt1245526,7.0,329716
RED 2,2018-11-19,W9,Etats-Unis,1.926012,7.9,Monday,non,tt1821694,6.6,183796
RASTA ROCKETT,2018-03-01,W9,Etats-Unis,1.74336,7.1,Thursday,non,tt0106611,7.0,116615
KINGSMAN : SERVICES SECRETS,2018-06-10,W9,Europe,1.634192,7.4,Sunday,non,tt2802144,7.7,739743
DIVERGENTE 3 : AU-DELA DU MUR,2018-10-29,W9,Etats-Unis,1.575828,6.6,Monday,oui,tt3410834,5.7,138637
LA CHUTE DE LA MAISON BLANCHE,2018-01-29,W9,Etats-Unis,1.510912,6.1,Monday,non,tt2302755,6.5,297521
IRON MAN 3,2018-12-03,W9,Etats-Unis,1.4591,6.1,Monday,non,tt1300854,7.1,919465
PREMONITIONS,2018-03-26,W9,Etats-Unis,1.4528,5.5,Monday,non,tt0477071,5.9,82747
DIVERGENTE 2 : L'INSURRECTION,2018-10-22,W9,Etats-Unis,1.400736,5.6,Monday,oui,tt2908446,6.2,261077
LE FLIC DE BEVERLY HILLS,2018-01-02,W9,Etats-Unis,1.394688,5.4,Tuesday,oui,tt0086960,7.4,220975
QU'EST-CE QU ON A FAIT AU BON DIEU,2018-12-09,TF1,France,8.637872,34.0,Sunday,non,tt2800240,7.0,46366
LES TUCHE,2018-02-04,TF1,France,7.670784,28.8,Sunday,non,tt1793931,5.4,4063
RIEN A DECLARER,2018-03-11,TF1,France,7.147776,28.8,Sunday,non,tt1528313,6.4,15530
RETOUR CHEZ MA MERE,2018-10-07,TF1,France,6.828588,27.3,Sunday,non,tt5115024,5.8,2396
LE NOUVEAU STAGIAIRE,2018-03-25,TF1,Etats-Unis,6.508544,27.0,Sunday,non,tt2361509,7.1,287052
LE LABYRINTHE,2018-02-11,TF1,Etats-Unis,6.217984,24.7,Sunday,oui,tt1790864,6.8,526892
EYJAFJALLAJOKULL,2018-05-13,TF1,France,6.186584,25.1,Sunday,non,tt2207072,5.6,4456
LE LABYRINTHE : LA TERRE BRULEE,2018-02-18,TF1,Etats-Unis,6.10176,25.8,Sunday,oui,tt4046784,6.3,287146
LES TUCHE II,2018-11-25,TF1,France,6.011492,24.2,Sunday,non,tt4926538,4.9,1973
L'AGE DE GLACE V,2018-12-23,TF1,Etats-Unis,5.778036,23.6,Sunday,oui,tt3416828,5.7,78906
CENDRILLON,2018-01-04,M6,Europe,4.474624,18.5,Thursday,oui,tt1661199,6.9,194708
A LA POURSUITE DE DEMAIN,2018-01-01,M6,Etats-Unis,4.06784,17.3,Monday,oui,tt1964418,6.4,194279
ASTERIX : LE DOMAINE DES DIEUX,2018-12-25,M6,France,3.910388,17.8,Tuesday,oui,tt3759416,6.9,15835
RED 2,2018-03-19,M6,Etats-Unis,3.48672,14.1,Monday,non,tt1821694,6.6,183796
