TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
APRÈS VOUS;09/05/2006;France 2;France;6,7272;27,3
INSOMNIA;15/01/2006;France 2;Etats-Unis;6,67114;25,3
MARIAGES !;06/11/2006;France 2;France;6,50296;25,7
LE VIEUX FUSIL;26/11/2006;France 3;France / Allemagne;6,78326;24,8
MALABAR PRINCESS;30/11/2006;France 3;France;5,71812;21,8
LA FLEUR DU MAL;02/02/2006;France 3;France;5,49388;21,8
CRÉANCE DE SANG;09/02/2006;France 3;Etats-Unis;5,38176;21,6
LE TRIPORTEUR;16/02/2006;France 3;France;4,87722;18,8
CROC BLANC;05/11/2006;Arte;Etats-Unis;2,35452;8,8
ESPION LÈVE-TOI;12/01/2006;Arte;France;2,18634;8,6
SOUS LE SABLE;13/11/2006;Arte;France;2,18634;8,6
LUKE LA MAIN FROIDE;12/11/2006;Arte;Etats-Unis;2,07422;8,1
LA CHARGE HÉROÏQUE;16/10/2006;Arte;Etats-Unis;2,01816;7,9
LES BRONZÉS FONT DU SKI;31/01/2006;TF1;France;12,38926;43,2
LES BRONZÉS;14/03/2006;TF1;France;12,3332;47,6
PIRATES DES CARAÏBES : LA MALÉDICTION DU BLACK PEARL;24/10/2006;TF1;Etats-Unis;11,38018;45,8
L'ENQUÊTE CORSE;07/11/2006;TF1;France;10,9317;43,1
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE;14/11/2006;TF1;France;10,6514;40,3
RETOUR VERS LE FUTUR 2;24/04/2006;M6;Etats-Unis;5,38176;21,9
LA VÉRITÉ SI JE MENS 2;31/10/2006;M6;France;5,15752;22,7
X-MEN 2;22/05/2006;M6;Etats-Unis;5,15752;21,4
LES EVADÉS;13/11/2006;M6;Etats-Unis;5,0454;22,4
RETOUR VERS LE FUTUR 3;01/05/2006;M6;Etats-Unis;5,0454;21,5
UN CRIME AU PARADIS;11/02/2007;France 2;France;7,70848;28
LE JOUR D'APRÈS;21/10/2007;France 2;Etats-Unis;6,34816;25,7
MON PETIT DOIGT M'A DIT…;18/11/2007;France 2;France;6,34816;25,7
CHOUCHOU;01/04/2007;France 2;France;6,06476;23,5
OCEAN'S ELEVEN;11/03/2007;France 2;Etats-Unis;5,78136;22,6
MARIAGE MIXTE;11/12/2007;France 3;France;5,61132;22,6
CASQUE BLEU;10/04/2007;France 3;France;5,32792;21,5
PALE RIDER;20/03/2007;France 3;Etats-Unis;5,1012;20,5
LE CLAN DES SICILIENS;01/05/2007;France 3;France;4,98784;20,7
LE FABULEUX DESTIN D'AMÉLIE POULAIN;03/04/2007;France 3;France / DE;4,98784;21,4
MISSISSIPI BURNING;17/06/2007;Arte;Etats-Unis;2,15384;9,1
LES AVENTURIERS;04/03/2007;Arte;France / Italie;2,09716;8,1
JE SUIS UN AVENTURIER;04/02/2007;Arte;Etats-Unis;1,9838;7,4
FIST OF LEGEND;30/08/2007;Arte;CN;1,92712;8,4
CASINO;25/03/2007;Arte;Etats-Unis;1,92712;8,5
