TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
SOLEIL LEVANT;13/01/2015;NRJ12;Etats-Unis;1,106731;4,4
APOLLO 13;18/08/2015;NRJ12;Etats-Unis;0,990233;5,3
ROAD HOUSE;16/06/2015;NRJ12;Etats-Unis;0,931984;3,9
PASSAGER 57;17/03/2015;NRJ12;Etats-Unis;0,873735;3,4
U-571;02/06/2015;NRJ12;Etats-Unis;0,873735;3,7
COMPLOTS;24/03/2015;NRJ12;Etats-Unis;0,815486;3,5
BLACK BOOK;29/01/2015;NRJ12;NL;0,815486;3,6
TERMINATOR 3 : LE SOULEVEMENT DES MACHINES;01/09/2015;NRJ12;Etats-Unis;0,815486;3,3
PIÈGE EN HAUTE MER;26/05/2015;NRJ12;Etats-Unis;0,815486;3
HÔTEL TRANSYLVANIE;20/10/2015;TFX;Etats-Unis;1,630972;6
MEN IN BLACK 3;30/04/2015;TFX;Etats-Unis;1,456225;6,1
JURASSIC PARK 3;11/06/2015;TFX;Etats-Unis;1,456225;6,1
FAST AND FURIOUS 5;02/04/2015;TFX;Etats-Unis;1,397976;5,8
BLANCHE-NEIGE ET LE CHASSEUR;23/06/2015;TFX;Etats-Unis;1,339727;5,5
GREEN LANTERN;08/03/2015;TFX;Etats-Unis;1,281478;5,1
PERCY JACKSON : LA MER DES MONSTRES;10/11/2015;TFX;Etats-Unis;1,281478;4,9
SISSI;29/11/2015;TFX;AT;1,223229;4,7
LE DIABLE S'HABILLE EN PRADA;17/11/2015;TFX;Etats-Unis;1,16498;4,4
MEN IN BLACK 2;23/04/2015;TFX;Etats-Unis;1,16498;4,7
TAKERS;29/03/2015;RMC Story;Etats-Unis;0,465992;1,8
LE NOUVEAU PROTOCOLE;24/03/2015;RMC Story;France;0,407743;1,7
DEEP IMPACT;11/01/2015;RMC Story;Etats-Unis;0,407743;1,6
UN CRIME DANS LA TÊTE;01/01/2015;RMC Story;Etats-Unis;0,407743;1,6
WILL HUNTING;12/04/2015;RMC Story;Etats-Unis;0,407743;1,6
L'EFFET PAPILLON;06/09/2015;RMC Story;Etats-Unis;0,349494;1,6
DOUBLE JEU;11/05/2015;RMC Story;Etats-Unis;0,349494;1,4
LE STRATÈGE;26/02/2015;RMC Story;Etats-Unis;0,349494;1,4
EN PLEINE TEMPÊTE;09/04/2015;RMC Story;Etats-Unis;0,349494;1,4
LA SOMME DE TOUTES LES PEURS;30/08/2015;RMC Story;Etats-Unis;0,349494;1,5
OBLIVION;13/12/2015;TMC;Etats-Unis;2,32996;9,4
RETOUR VERS LE FUTUR 2;22/10/2015;TMC;Etats-Unis;1,980466;7,6
L'AGE DE GLACE 2;22/12/2015;TMC;Etats-Unis;1,922217;7,3
RETOUR VERS LE FUTUR 3;29/10/2015;TMC;Etats-Unis;1,689221;6,6
DIE HARD : BELLE JOURNÉE POUR MOURIR;14/12/2015;TMC;Etats-Unis;1,689221;6,3
BATTLESHIP;16/11/2015;TMC;Etats-Unis;1,630972;6,4
EXPENDABLES 2 : UNITÉ SPÉCIALE;05/10/2015;TMC;Etats-Unis;1,572723;6,2
RETOUR VERS LE FUTUR;15/10/2015;TMC;Etats-Unis;1,514474;6,3
MISSION IMPOSSIBLE 3;17/12/2015;TMC;Etats-Unis;1,514474;6,3
LE MONDE DE NARNIA, CHAPITRE 2 : LE PRINCE CASPIAN;27/04/2015;TMC;Royaume-Uni;1,514474;6,5
KILLER ELITE;25/05/2015;W9;Etats-Unis;1,863968;7,2
PIRATES DES CARAÏBES - LA FONTAINE DE JOUVENCE;23/02/2015;W9;Etats-Unis / Royaume-Uni;1,863968;7,3
PIRATES DES CARAÏBES - LA MALÉDICTION DU BLACK PEARL;16/02/2015;W9;Etats-Unis;1,689221;6,8
PERCY JACKSON, LE VOLEUR DE FOUDRE;04/05/2015;W9;Etats-Unis;1,572723;6,2
PRETTY WOMAN;05/02/2015;W9;Etats-Unis;1,514474;6,2
JOHN CARTER;13/04/2015;W9;Etats-Unis;1,514474;5,9
TERMINATOR RENAISSANCE;30/11/2015;W9;Etats-Unis;1,514474;5,8
X-MEN ORIGINS : WOLVERINE;07/12/2015;W9;Etats-Unis;1,514474;5,6
ASTERIX ET LES VIKINGS;17/02/2015;W9;France;1,397976;5,2
LE PETIT NICOLAS;20/04/2015;W9;France / Belgique;1,397976;5,2
LES PROFS;18/10/2015;TF1;France;7,980113;28,5
CONTAGION;18/01/2015;TF1;Etats-Unis;7,222876;28,1
LES BRONZÉS FONT DU SKI;08/02/2015;TF1;France;7,164627;26,1
RIEN À DÉCLARER;08/11/2015;TF1;France / Belgique;6,582137;24,7
ASTÉRIX ET OBÉLIX : MISSION CLÉOPATRE;19/04/2015;TF1;France;6,465639;25,7
INSIDE MAN : L'HOMME DE L'INTÉRIEUR;25/01/2015;TF1;Etats-Unis;6,40739;25,7
UN PLAN PARFAIT;31/05/2015;TF1;France / Belgique;6,465639;27,9
EXPENDABLES 2 : UNITÉ SPÉCIALE;01/02/2015;TF1;Etats-Unis;6,349141;24,9
DIE HARD : BELLE JOURNÉE POUR MOURIR;14/06/2015;TF1;Etats-Unis;6,40739;26,4
BATTLESHIP;03/05/2015;TF1;Etats-Unis;6,290892;26,4
BELLE ET SÉBASTIEN;21/12/2015;M6;France;6,290892;22,6
RED 2;09/11/2015;M6;Etats-Unis;4,368675;17,2
DE L'AUTRE CÔTÉ DU PÉRIPH;08/10/2015;M6;France;4,193928;17,4
RED;02/11/2015;M6;Etats-Unis;4,07743;16
THE AVENGERS;21/04/2015;M6;Etats-Unis;3,902683;16,7
RAIPONCE;28/12/2015;M6;Etats-Unis;3,611438;14,1
TAKEN;19/01/2015;M6;France;3,320193;12,4
IRON MAN 3;19/10/2015;M6;Etats-Unis;3,378442;14
LÀ-HAUT;07/05/2015;M6;Etats-Unis;3,320193;14,1
TAKEN 2;11/05/2015;M6;France;3,203695;12,7
9 MOIS FERME;06/03/2016;France 2;France;4,92779;18,6
LA FOLIE DES GRANDEURS;03/01/2016;France 2;France / Espagne / Italie;4,232102;16,1
LE PÈRE NOEL EST UNE ORDURE;06/12/2016;France 2;France;4,116154;15,2
JEUX DE POUVOIR;02/10/2016;France 2;Etats-Unis;3,884258;16,5
LES CHORISTES;23/10/2016;France 2;France / CH;3,884258;14,7
NIGHT AND DAY;11/12/2016;France 2;Etats-Unis;3,884258;14,5
LE CORNIAUD;19/12/2016;France 2;France / Italie;3,826284;13,5
TELLEMENT PROCHES;03/04/2016;France 2;France;3,826284;14,5
CAMPING;31/01/2016;France 2;France;3,826284;14,4
INGLOURIOUS BASTERDS;04/12/2016;France 2;Etats-Unis;3,76831;16,4
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE;27/12/2016;France 3;France / Hongrie / Espagne / Italie;4,290076;17,3
MES HEROS;28/01/2016;France 3;France;3,652362;13,9
PHILOMENA;26/09/2016;France 3;Royaume-Uni;3,18857;12,6
LE MUR DE L'ATLANTIQUE;18/04/2016;France 3;France / Italie;3,130596;12
LES GARCONS ET GUILLAUME, A TABLE;07/04/2016;France 3;France;2,956674;11,8
PIECE MONTEE;15/12/2016;France 3;France;2,8987;11,6
MONSIEUR BATIGNOLE;21/01/2016;France 3;France;2,782752;11,3
DIALOGUE AVEC MON JARDINIER;08/12/2016;France 3;France;2,840726;11,6
L'HEURE ZERO;02/06/2016;France 3;France;2,550856;10,1
LE MAITRE D'ECOLE;11/07/2016;France 3;France;2,434908;10,1
L'AGE DE GLACE 3 - LE TEMPS DES DINOSAURES;26/10/2016;France 4;Etats-Unis;1,681246;6,3
CAPTAIN AMERICA : FIRST AVENGER;21/04/2016;France 4;Etats-Unis;1,275428;5,1
IRON MAN 2;13/04/2016;France 4;Etats-Unis;1,217454;5,1
COWBOYS ET ENVAHISSEURS;01/03/2016;France 4;Etats-Unis;1,217454;4,6
MON BEAU-PÈRE, MES PARENTS ET MOI;07/06/2016;France 4;Etats-Unis;1,101506;4,6
SEUL AU MONDE;08/03/2016;France 4;Etats-Unis;1,043532;4,5
SHUTTER ISLAND;06/03/2016;France 4;Etats-Unis;1,043532;4,3
BLOOD DIAMOND;27/01/2016;France 4;Etats-Unis;0,985558;4,2
L'AGE DE GLACE 2;05/07/2016;France 4;Etats-Unis;0,985558;4
MON BEAU-PERE ET MOI;31/05/2016;France 4;Etats-Unis;0,927584;3,9
LE CLAN DES SICILIENS;12/09/2016;France 5;France;1,44935;6,2
VIOLETTE NOZIERE;14/11/2016;France 5;France / CA;1,275428;5
CESAR ET ROSALIE;23/05/2016;France 5;France / Italie / DE;1,275428;5,3
LE CRIME ETAIT PRESQUE PARFAIT;07/11/2016;France 5;Etats-Unis;1,217454;4,6
CERTAINS L'AIMENT CHAUD;03/10/2016;France 5;Etats-Unis;1,217454;5,1
LA GRANDE EVASION;06/06/2016;France 5;Etats-Unis;1,217454;5,8
GARDE A VUE;28/11/2016;France 5;France;1,101506;4
UN DIMANCHE A LA CAMPAGNE;30/05/2016;France 5;France;0,985558;3,8
VAN GOGH;31/10/2016;France 5;France;0,985558;4,6
PLATOON;17/10/2016;France 5;Etats-Unis;0,927584;3,7
OUT OF AFRICA;28/03/2016;France Ô;Etats-Unis;0,695688;2,7
DANGEREUSEMENT VOTRE;21/11/2016;France Ô;Royaume-Uni;0,637714;2,6
UNE VIE INACHEVEE;12/12/2016;France Ô;Etats-Unis;0,637714;2,3
JAMES BOND CONTRE DOCTEUR NO;04/01/2016;France Ô;Royaume-Uni;0,57974;2,2
BONS BAISERS DE RUSSIE;14/11/2016;France Ô;Royaume-Uni;0,57974;2,1
ON NE VIT QUE DEUX FOIS;28/11/2016;France Ô;Royaume-Uni;0,521766;2,1
DANCE WITH ME;15/02/2016;France Ô;Etats-Unis;0,521766;1,8
POINT BREAK;01/02/2016;France Ô;Etats-Unis;0,521766;1,9
PAPILLON;04/04/2016;France Ô;BS;0,463792;1,8
LE MAJORDOME;08/11/2016;France Ô;Etats-Unis;0,463792;1,8
BLACK BOOK;16/10/2016;Arte;NL;2,02909;8,5
DANS LA BRUME ELECTRIQUE;09/10/2016;Arte;France / Etats-Unis;1,855168;7
LA CARAVANE DE FEU;19/09/2016;Arte;Etats-Unis;1,623272;6,4
L'AMOUR EST UN CRIME PARFAIT;30/11/2016;Arte;France / CH;1,623272;6,6
COURS SANS TE RETOURNER;05/12/2016;Arte;France / DE;1,623272;6,2
OPERATION JUPONS;21/03/2016;Arte;Etats-Unis;1,565298;6
MARIE-OCTOBRE;12/10/2016;Arte;France;1,565298;6,2
LA NUIT DES GENERAUX;13/03/2016;Arte;France / Royaume-Uni;1,507324;6,6
L'HOMME QUI N'A PAS D'ETOILE;19/12/2016;Arte;Etats-Unis;1,507324;5,1
LE JUGE ET L'ASSASSIN;06/01/2016;Arte;France;1,44935;6,1
X-MEN ORIGINS : WOLVERINE;05/07/2016;6ter;Etats-Unis;0,753662;3,3
WILLOW;03/04/2016;6ter;Etats-Unis;0,753662;3
S.O.S. FANTOMES;30/08/2016;6ter;Etats-Unis;0,753662;3
NUMERO QUATRE;21/02/2016;6ter;Etats-Unis;0,695688;2,7
LE GARCON AU PYJAMA RAYE;12/05/2016;6ter;Royaume-Uni / Etats-Unis;0,637714;2,6
CATWOMAN;08/08/2016;6ter;Etats-Unis;0,637714;2,9
TRON : L'HERITAGE;07/02/2016;6ter;Etats-Unis;0,57974;2,2
BEETLE JUICE;31/10/2016;6ter;Etats-Unis;0,57974;2,4
PRINCE OF PERSIA : LES SABLES DU TEMPS;11/09/2016;6ter;Royaume-Uni;0,57974;2,4
L'ATTAQUE DU METRO 123;03/01/2016;6ter;Etats-Unis;0,521766;2,1
SCENES DE CRIMES;09/06/2016;Chérie 25;France;0,753662;3,3
NE NOUS FACHONS PAS;07/11/2016;Chérie 25;France;0,637714;2,5
SPACE COWBOYS;01/12/2016;Chérie 25;Etats-Unis;0,637714;2,7
DOUBLE JEU;10/11/2016;Chérie 25;Etats-Unis;0,57974;2,4
DES VENTS CONTRAIRES;11/10/2016;Chérie 25;France;0,57974;2,4
TENDRE POULET;07/03/2016;Chérie 25;France;0,521766;2
L'AFFAIRE PELICAN;20/10/2016;Chérie 25;Etats-Unis;0,521766;2,4
L'OMBRE D'UN SOUPCON;07/06/2016;Chérie 25;Etats-Unis;0,521766;2,3
SLEEPERS;08/12/2016;Chérie 25;Etats-Unis;0,521766;2,3
LE CLIENT;27/10/2016;Chérie 25;Etats-Unis;0,521766;2,1
HUNGER GAMES : L'EMBRASEMENT;15/11/2016;C8;Etats-Unis;1,971116;8,8
HOMEFRONT;10/11/2016;C8;Etats-Unis;1,44935;6
LE CONTRAT;18/04/2016;C8;Etats-Unis;1,333402;5,7
HUNGER GAMES;14/11/2016;C8;Etats-Unis;1,275428;5,9
RUSH HOUR 2;24/05/2016;C8;Etats-Unis;1,275428;5,5
REPAS DE FAMILLE;26/12/2016;C8;France;1,217454;5,1
LE RETOUR DE DON CAMILLO;04/07/2016;C8;France / Italie;1,217454;5,7
LIMITLESS;01/02/2016;C8;Etats-Unis;1,15948;4,9
TRANSFORMERS : L'AGE DE L'EXTINCTION;24/11/2016;C8;Etats-Unis;1,101506;4,9
SAFE;28/03/2016;C8;Etats-Unis;1,043532;4,1
LE TREIZIEME GUERRIER;13/10/2016;CStar;Etats-Unis;0,753662;3,1
JUMANJI;01/12/2016;CStar;Etats-Unis;0,753662;3,2
LE LIVRE D'ELI;04/02/2016;CStar;Etats-Unis;0,753662;3
LA BATAILLE DES ARDENNES;10/11/2016;CStar;Etats-Unis;0,695688;3,1
QUELQUES MESSIEURS TROP TRANQUILLES;20/10/2016;CStar;France;0,695688;2,8
AMELIE AU PAYS DES BODIN'S;28/07/2016;CStar;France;0,637714;3,3
LE CASSE DU SIECLE;11/02/2016;CStar;Royaume-Uni;0,637714;2,6
DEMOLITION MAN;07/04/2016;CStar;Etats-Unis;0,637714;2,7
RESIDENT EVIL : AFTERLIFE;10/03/2016;CStar;France / DE;0,637714;2,5
LE DERNIER SAMARITAIN;17/03/2016;CStar;Etats-Unis;0,637714;2,6
CHICKEN RUN;22/12/2016;Gulli;Royaume-Uni;0,927584;3,8
THE MASK;23/02/2016;Gulli;Etats-Unis;0,637714;2,3
HORTON;05/02/2016;Gulli;Etats-Unis;0,521766;2,5
ALPHA ET OMEGA;12/04/2016;Gulli;Etats-Unis;0,463792;1,8
LA BELLE AMERICAINE;01/02/2016;Gulli;France;0,463792;1,8
LE SECRET DE LA PLANETE DES SINGES;14/02/2016;Gulli;Etats-Unis;0,463792;1,7
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR;08/11/2016;Gulli;Royaume-Uni;0,405818;1,7
PETTSON ET PICPUS : AMIS... POUR LA VIE;04/08/2016;Gulli;DE;0,405818;2,1
LASSIE;15/02/2016;Gulli;France / IE / Royaume-Uni;0,405818;1,4
VOYAGE AU CENTRE DE LA TERRE;18/10/2016;Gulli;Etats-Unis;0,405818;1,7
JURASSIC PARK 3;28/04/2016;TF1 Séries Films;Etats-Unis;0,985558;3,9
LA VENGEANCE DANS LA PEAU;24/04/2016;TF1 Séries Films;Royaume-Uni;0,86961;3,5
JURASSIC PARK;14/04/2016;TF1 Séries Films;Etats-Unis;0,811636;3,3
L'IMMORTEL;30/06/2016;TF1 Séries Films;France;0,811636;3,4
LA LIGNE VERTE;02/06/2016;TF1 Séries Films;Etats-Unis;0,811636;3,9
PEUR SUR LA VILLE;02/08/2016;TF1 Séries Films;France / Italie;0,811636;3,8
LA MORT DANS LA PEAU;03/04/2016;TF1 Séries Films;Etats-Unis;0,753662;2,9
MON BEAU-PERE ET NOUS;25/09/2016;TF1 Séries Films;Etats-Unis;0,753662;3,2
VERY BAD TRIP 2;28/01/2016;TF1 Séries Films;Etats-Unis;0,753662;2,9
MENSONGES D'ETAT;20/11/2016;TF1 Séries Films;Etats-Unis;0,753662;2,9
SLEEPERS;03/01/2016;NRJ12;Etats-Unis;1,15948;4,8
DAYLIGHT;26/01/2016;NRJ12;Etats-Unis;0,927584;3,8
RESCUE DAWN;12/01/2016;NRJ12;Etats-Unis;0,86961;3,5
JEUX DE GUERRE;23/02/2016;NRJ12;Etats-Unis;0,811636;3,2
LE PIC DE DANTE;06/12/2016;NRJ12;Etats-Unis;0,811636;3,1
DANGER IMMEDIAT;01/03/2016;NRJ12;Etats-Unis;0,811636;3,4
CLIFFHANGER;13/09/2016;NRJ12;Etats-Unis;0,753662;3,2
VOL 93;06/09/2016;NRJ12;Royaume-Uni;0,753662;3,1
LES GOONIES;20/12/2016;NRJ12;Etats-Unis;0,753662;2,7
PHENOMENE;21/01/2016;NRJ12;Etats-Unis;0,695688;3,1
MEN IN BLACK 3;17/05/2016;TFX;Etats-Unis;1,73922;6,8
JURASSIC PARK III;08/12/2016;TFX;Etats-Unis;1,275428;5,2
LA PROPOSITION;13/03/2016;TFX;Etats-Unis;1,217454;5,1
THE ISLAND;13/11/2016;TFX;Etats-Unis;1,15948;4,8
MEN IN BLACK II;10/05/2016;TFX;Etats-Unis;1,15948;4,6
HOTEL TRANSYLVANIE;01/11/2016;TFX;Etats-Unis;1,15948;4,1
JURASSIC PARK;01/12/2016;TFX;Etats-Unis;1,15948;5
LEON;26/06/2016;TFX;France;1,101506;4,8
R.I.P.D. BRIGADE FANTOME;31/05/2016;TFX;Etats-Unis;1,101506;4,6
LE JOUR DE GLOIRE;27/12/2016;TFX;France / DE;1,101506;4,5
MAMAN;12/06/2016;RMC Story;France;0,463792;1,8
MAMAN;16/10/2016;RMC Story;France;0,405818;1,7
CHERCHE FIANCE TOUS FRAIS PAYES;01/03/2016;RMC Story;France;0,405818;1,4
LE TEMPS DES PORTE-PLUMES;22/05/2016;RMC Story;France;0,347844;1,4
LA MACHINE A EXPLORER LE TEMPS;07/02/2016;RMC Story;Etats-Unis;0,347844;1,2
AMOUR ET AMNESIE;11/02/2016;RMC Story;Etats-Unis;0,347844;1,3
GEORGE DE LA JUNGLE;14/02/2016;RMC Story;Etats-Unis;0,347844;1,2
DE BATTRE MON COEUR S'EST ARRETE;29/05/2016;RMC Story;France;0,347844;1,3
UN CRIME DANS LA TETE;14/01/2016;RMC Story;Etats-Unis;0,28987;1,3
RAISONS D'ETAT;24/01/2016;RMC Story;Etats-Unis;0,28987;1,4
LES VISITEURS 2 : LES COULOIRS DU TEMPS;14/04/2016;TMC;France;2,260986;9,1
EXPENDABLES 2 : UNITE SPECIALE;07/03/2016;TMC;Etats-Unis;1,913142;7
LES PROFS;16/02/2016;TMC;France;1,73922;6
MOI, MOCHE ET MECHANT 2;10/11/2016;TMC;Etats-Unis;1,681246;6,8
L'AGE DE GLACE;15/02/2016;TMC;Etats-Unis;1,507324;5,1
CONTAGION;18/01/2016;TMC;Etats-Unis;1,507324;5,9
LES CROODS;20/12/2016;TMC;Etats-Unis;1,507324;5,4
LE COLLECTIONNEUR;01/02/2016;TMC;Etats-Unis;1,44935;5,8
L'AGE DE GLACE 3 - LE TEMPS DES DINOSAURES;22/02/2016;TMC;Etats-Unis;1,44935;5
L'ARME FATALE III;19/12/2016;TMC;Etats-Unis;1,44935;5,3
EVASION;28/11/2016;W9;Etats-Unis;1,855168;7,3
PARKER;11/01/2016;W9;Etats-Unis;1,681246;6,5
IRON MAN 3;04/04/2016;W9;Etats-Unis;1,507324;5,9
UNE JOURNEE EN ENFER;30/05/2016;W9;Etats-Unis;1,507324;6,2
TAKEN 2;14/11/2016;W9;France;1,44935;5,4
LOOPER;04/01/2016;W9;Etats-Unis;1,391376;5,5
KILLER ELITE;18/01/2016;W9;Etats-Unis;1,333402;5,2
I, ROBOT;05/12/2016;W9;Etats-Unis;1,275428;5,1
LE PETIT NICOLAS;19/04/2016;W9;France / Belgique;1,275428;5,1
RAIPONCE;11/04/2016;W9;Etats-Unis;1,217454;4,6
QU'EST-CE QU'ON A FAIT AU BON DIEU ?;27/11/2016;TF1;France;10,841138;40,4
LES TUCHE;07/02/2016;TF1;France;8,6961;31,8
EYJAFJALLAJOKULL;24/04/2016;TF1;France;7,53662;29,7
LES VISITEURS;03/04/2016;TF1;France;7,420672;29,3
SUPERCONDRIAQUE;09/10/2016;TF1;France / Belgique;6,724984;27
AVATAR;27/03/2016;TF1;Etats-Unis;6,493088;29,9
BARBECUE;04/09/2016;TF1;France;6,37714;27,1
FLIGHT;10/01/2016;TF1;Etats-Unis;6,319166;26,9
WHITE HOUSE DOWN;22/05/2016;TF1;Etats-Unis;6,37714;27,8
AFTER EARTH;17/04/2016;TF1;Etats-Unis;6,319166;25
LA REINE DES NEIGES;19/12/2016;M6;Etats-Unis;6,551062;23,1
MALEFIQUE;27/10/2016;M6;Etats-Unis / Royaume-Uni;4,232102;16,7
RATATOUILLE;27/03/2016;M6;Etats-Unis;4,05818;16,9
FISTON;09/02/2016;M6;France;3,884258;14,6
MINCE ALORS !;30/05/2016;M6;France;3,884258;15,5
INSAISISSABLES;02/02/2016;M6;Etats-Unis;3,536414;14
LE GENDARME DE SAINT-TROPEZ;05/01/2016;M6;France / Italie;3,420466;12,7
EVASION;16/05/2016;M6;Etats-Unis;3,47844;14
BRICE DE NICE;20/10/2016;M6;France;3,420466;13,9
BIENVENUE A BORD;06/06/2016;M6;France;3,246544;13,7
LA FAMILLE BELIER;30/04/2017;France 2;France / Belgique;7,728896;29,6
LA GRANDE VADROUILLE;16/04/2017;France 2;France / Royaume-Uni;6,334208;28,4
LES AVENTURES DE RABBI JACOB;01/01/2017;France 2;France / Italie;5,927424;22,4
GONE GIRL;15/01/2017;France 2;Etats-Unis;4,590848;19
LA PREMIERE ETOILE;10/12/2017;France 2;France;4,125952;15,7
THE IMPOSSIBLE;26/11/2017;France 2;Espagne;3,835392;14,3
JEAN-PHILIPPE;11/12/2017;France 2;France;3,77728;14,2
AMOUR ET TURBULENCES;02/07/2017;France 2;France;3,661056;15,6
HIPPOCRATE;14/03/2017;France 2;France;3,661056;14,6
LA FRENCH;01/10/2017;France 2;France / Belgique;3,544832;14,9
LES RIVIERES POURPRES;14/12/2017;France 3;France;3,48672;14,6
PIECE MONTEE;19/10/2017;France 3;France;3,19616;13,1
LE GRAND BLOND AVEC UNE CHAUSSURE NOIRE;31/08/2017;France 3;France;3,021824;12,1
L'AILE OU LA CUISSE;26/10/2017;France 3;France;2,847488;11,8
PAS SON GENRE;20/02/2017;France 3;France / Belgique;2,789376;10,7
LA SOUPE AUX CHOUX;02/11/2017;France 3;France;2,673152;10,5
LA CHEVRE;10/07/2017;France 3;France / MX;2,673152;11,4
IMITATION GAME;04/12/2017;France 3;Royaume-Uni / Etats-Unis;2,556928;9,9
SALAUD, ON T'AIME;27/02/2017;France 3;France;2,440704;9,8
LA FAILLE;06/04/2017;France 3;Etats-Unis;2,382592;9,6
INDEPENDENCE DAY;05/07/2017;France 4;Etats-Unis;1,917696;9,4
LA GUERRE DES MONDES;24/01/2017;France 4;Etats-Unis;1,278464;4,9
UN INDIEN DANS LA VILLE;12/07/2017;France 4;France;1,278464;5,9
CAPTAIN AMERICA : FIRST AVENGER;24/05/2017;France 4;Etats-Unis;1,220352;5,3
SHREK LE TROISIEME;19/04/2017;France 4;Etats-Unis;1,16224;4,2
PERMIS DE TUER;22/11/2017;France 4;Royaume-Uni;1,104128;5
LES DIAMANTS SONT ETERNELS;08/11/2017;France 4;Royaume-Uni;1,104128;4,4
MANON DES SOURCES;30/07/2017;France 4;France;1,104128;5,2
LE DERNIER MAITRE DE L'AIR;20/08/2017;France 4;Etats-Unis;1,046016;5,1
L'AGENCE TOUS RISQUES;04/10/2017;France 4;Etats-Unis;1,046016;4,6
LES MOISSONS DU CIEL;03/04/2017;France 5;Etats-Unis;1,74336;6,8
ASCENSEUR POUR L'ECHAFAUD;01/08/2017;France 5;France;1,220352;5,8
LE CHAT;16/10/2017;France 5;France / Italie;1,220352;4,7
LES SEINS DE GLACE;02/10/2017;France 5;France / Italie;1,16224;4,5
QUE LA FETE COMMENCE;15/05/2017;France 5;France;1,104128;4,3
LE CRABE-TAMBOUR;14/08/2017;France 5;France;1,046016;5,5
MONTY PYTHON, SACRE GRAAL;13/03/2017;France 5;Royaume-Uni;1,046016;4
LES DEMOISELLES DE ROCHEFORT;01/05/2017;France 5;France;1,046016;4
LES SENTIERS DE LA GLOIRE;30/10/2017;France 5;Etats-Unis;0,987904;3,7
LA 317 SECTION;08/05/2017;France 5;France / Espagne;0,929792;3,4
JAMES BOND CONTRE DOCTEUR NO;16/01/2017;France Ô;Royaume-Uni;0,755456;2,7
JAMAIS PLUS JAMAIS;23/01/2017;France Ô;Royaume-Uni / Etats-Unis;0,58112;2,3
MISSISSIPPI BURNING;24/04/2017;France Ô;Etats-Unis;0,58112;2,2
LES DIEUX SONT TOMBES SUR LA TETE;28/08/2017;France Ô;ZA;0,523008;2,3
SEPT VIES;01/05/2017;France Ô;Etats-Unis;0,464896;1,8
SHAFT;09/10/2017;France Ô;Etats-Unis;0,406784;1,6
L'HOMME AU PISTOLET D'OR;30/01/2017;France Ô;Royaume-Uni;0,406784;1,5
MOONRAKER;06/02/2017;France Ô;France / Royaume-Uni;0,406784;1,5
LE FILS DU FRANCAIS;12/06/2017;France Ô;France;0,348672;1,5
PARIS A TOUT PRIX;20/03/2017;France Ô;France;0,348672;1,4
LE DEUXIEME SOUFFLE;27/11/2017;Arte;France;2,150144;8,5
BLADE RUNNER;08/10/2017;Arte;Etats-Unis;1,975808;7,8
UN HOMME DE TROP;13/03/2017;Arte;France / Italie;1,685248;6,7
LE CERCLE ROUGE;26/11/2017;Arte;France / Italie;1,627136;6,3
L'INSPECTEUR HARRY;02/07/2017;Arte;Etats-Unis;1,627136;6,9
COMPARTIMENT TUEURS;15/03/2017;Arte;France;1,627136;6
UNE FEMME DE MENAGE;06/12/2017;Arte;France;1,569024;6,6
L'AVENTURE C'EST L'AVENTURE;09/01/2017;Arte;France / Italie;1,569024;5,9
TOUCHEZ PAS AU GRISBI;11/12/2017;Arte;France / Italie;1,569024;5,8
EL DORADO;10/09/2017;Arte;Etats-Unis;1,569024;6,6
MAMAN, J'AI ENCORE RATE L'AVION;03/12/2017;6ter;Etats-Unis;0,929792;3,8
GARFIELD 2;08/08/2017;6ter;Etats-Unis;0,87168;4,2
BABY-SITTOR;03/09/2017;6ter;Etats-Unis;0,87168;3,5
X-MEN ORIGINS : WOLVERINE;01/10/2017;6ter;Etats-Unis;0,87168;3,4
VOLCANO;08/01/2017;6ter;Etats-Unis;0,87168;3,2
JUMANJI;17/12/2017;6ter;Etats-Unis;0,813568;3,1
ASTERIX ET LA SURPRISE DE CESAR;26/12/2017;6ter;France;0,813568;3,1
MAMAN, J'AI RATE L'AVION;26/11/2017;6ter;Etats-Unis;0,755456;2,9
LE MASQUE DE L'ARAIGNEE;21/05/2017;6ter;Etats-Unis;0,755456;3,2
LE JOUR OU LA TERRE S'ARRETA;15/01/2017;6ter;Etats-Unis;0,755456;2,8
BALADE ENTRE LES TOMBES;08/05/2017;C8;Etats-Unis;1,859584;7,3
JOHN WICK;01/05/2017;C8;Etats-Unis;1,801472;7,1
X-MEN ORIGINS : WOLVERINE;07/02/2017;C8;Etats-Unis;1,394688;5,9
HUNGER GAMES : L'EMBRASEMENT;13/11/2017;C8;Etats-Unis;1,336576;6,5
SEVEN;30/01/2017;C8;Etats-Unis;1,336576;5,9
HUNGER GAMES;06/11/2017;C8;Etats-Unis;1,220352;5,7
HOMEFRONT;10/04/2017;C8;Etats-Unis;1,220352;5,1
RAMBO III;17/01/2017;C8;Etats-Unis;1,220352;4,8
NINJA TURTLES;27/02/2017;C8;Etats-Unis;1,16224;4,9
RAMBO 2, LA MISSION;09/01/2017;C8;Etats-Unis;1,16224;4,6
